language,title,author,lyrics
indonesia,"Pujilah, Hai Jiwaku",,"Pujilah, hai jiwaku, akan Tuhanku.
Jangan lupakan anugerah-Nya.
Dia yang mengampuni segala dosamu,
sembuhkan penyakitmu.
Besar anugerah-Nya,
besarlah anugerah-Nya.
Berkelimpahan tak terduga,
besar anugerah-Nya.

Tuhan pun memberi mahkota kepadamu,
dengan rahmat kemuliaan-Nya;
memuaskan hatimu dengan kebaikan,
memberi kekuatan selalu.
Besar anugerah-Nya,
besarlah anugerah-Nya.
Berkelimpahan tak terduga,
besar anugerah-Nya.

Setinggi dan jauh langit di atas bumi,
sekian besar kasih setia-Nya;
bagai bapa sayang anak-anaknya,
Tuhan pun sayang kita.
Besar anugerah-Nya,
besarlah anugerah-Nya.
Berkelimpahan tak terduga,
besar anugerah-Nya."
indonesia,Dosa Keluar,John Sung,"Dosa keluar, air hidup masuk
dengan berkelimpahan,
Makin memancar, makin ajaiblah
sampai hidup yang kekal."
indonesia,Ada Kuasa dalam Darah-Nya,Lewis E. Jones,"Maukah engkau bebas dari dosa?
Dalam darah-Nya, ada kuasa.
Maukah menang atas kejahatan?
Ajaib kuasa darah-Nya.
Ada kuasa dalam darah-Nya,
darah Domba Allah.
Ada kuasa dalam darah-Nya,
dalam darah domba Allah.

Maukah bebas dari hawa nafsu?
Dalam darah-Nya, ada kuasa.
Datanglah kau akan disucikan
dalam darah yang berkuasa.
Ada kuasa dalam darah-Nya,
darah Domba Allah.
Ada kuasa dalam darah-Nya,
dalam darah domba Allah.

Maukah engkau melayani Yesus?
Dalam darah-Nya, ada kuasa.
Maukah hidup tiap hari memuji
kuasa darah-Nya yang ajaib?
Ada kuasa dalam darah-Nya,
darah Domba Allah.
Ada kuasa dalam darah-Nya,
dalam darah domba Allah."
indonesia,Siapakah Juruselamat?,Stephen Tong,"Siapakah Juruselamat, bagi orang berdosa?
Siapakah Juruselamat? Dialah Yesus!
Dia di salib di Golgota menderita bagi kita.
Dia bangkit untuk selamanya, Dia Juruselamat dunia.
Yesus menghapus dosaku dan menghapus dosamu.
Dia hidup untuk selamanya, Dia Juruselamat dunia.
"
indonesia,Mengikut Yesus Keputusanku,,"Mengikut Yesus keputusanku;
mengikut Yesus keputusanku;
mengikut Yesus keputusanku;
ku tak ingkar, ku tak ingkar.

Walau sendiri kuikut Yesus;
walau sendiri kuikut Yesus;
walau sendiri kuikut Yesus;
ku tak ingkar, ku tak ingkar.

Kuikut sampai kulihat Yesus;
kuikut sampai kulihat Yesus;
kuikut sampai kulihat Yesus;
ku tak ingkar, ku tak ingkar."
indonesia,Di Atas Satu Alas,Samuel J. Stone,"Di atas satu alas yang kuat dan baka,
berdirilah Gereja di tengah dunia;
yaitu Yesus Kristus yang telah menjadikan
Jemaat dengan sabda dan air baptisan.

Terpilih dari bangsa seluruh dunia,
Gereja jadi satu di dalam Tuhannya.
Iman dan harap satu, dan satu makanan,
Yaitu roti suci dan cawan minuman.

Gereja yang berdoa di dalam dunia,
sekutu dengan Tuhan, Ketiga yang Esa,
dan dengan orang suci, jemaat yang telah menang,
Beri kami bangkit juga, ya Tuhan, dalam terang."
indonesia,Puji Hu!,August L. Storm,"Puji Hu menyelamatkanku, puji Hu berkatiku!
Puji Hu menyertaiku, puji Hu menguatkanku!
Puji Hu saat yang indah, puji Hu saat susah!
Puji Hu hapus air mata, puji Hu yang beri menang!

Puji Hu dengar doaku, puji Hu setiap waktu!
Puji Hu lalui ujian, puji Hu yang setia!
Puji Hu susah dan senang, puji Hu beri hiburan!
Puji Hu kan anugerah-Mu, puji Hu kan kasih-Mu!

Puji Hu beri bunga mawar, meski mawar berduri!
Puji Hu tuk segala berkat, puji Hu senantiasa!
Puji Hu senang dan susah, puji Hu beri sentosa!
Puji Hu beri pengharapan, puji Hu selamanya!"
indonesia,Indahlah Saat Berdoa,William W. Walford,"Indahlah saat berdoa,
lepas beban dunia fana.
Menghadap hadirat Tuhan,
isi kalbu kucurahkan.
Di waktu rawan dan gentar,
ku rasa nyaman dan segar.
Penggoda tak berkuasa,
saat berdoa indahlah.

Indahlah saat berdoa,
pembawa nikmat bahagia.
Betapa rindu hatiku
menantikan saat itu.
Dengan segera ku menyepi,
hampiri Bapa abadi.
Tentu kulihat wajah-Nya,
saat berdoa indahlah.

Indahlah saat berdoa,
hiburkan hati yang susah.
Kesetiaan, kebenaran-Mu,
jiwaku sungguh merindu.
Anugerah-Mu kuterima,
dan firman-Mu kupercaya.
Ku bersorak pada Dia,
saat berdoa indahlah.
"
english,O Love That Will Not Let Me Go,George Matheson,"O Love that will not let me go,
I rest my weary soul in Thee.
I give Thee back the life I owe,
that in Thine ocean depths its flow
may richer, fuller be.

O Light that followest all my way,
I yield my flickering torch to Thee.
My heart restores its borrowed ray,
that in Thy sunshine is blaze its day
may brighter, fairer be.

O Joy that seekest me through pain,
I cannot close my heart to Thee.
I trace the rainbow through the rain,
and feel the promise is not vain
That morn shall tearless be.

O Cross that liftest up my head,
I dare not ask to fly from Thee.
I lay in dust life is glory dead,
and from the ground there blossoms red
Life that shall endless be."
indonesia,Ku Berdoa Bagimu,S. O'Maley Cluff,"Tuhan di surga berdoa bagimu,
Ia Juruselamatku dan sobatku.
dengan lemah lembut Ia memperhatikanku,
Juruselamatku pun Juruselamatmu.
Kini ku berdoa, berdoa bagimu.
Kini ku berdoa, berdoa bagimu.

Bapaku di surga berikan karunia
hidup yang kekal, yang benar, dan nyata.
kelak Ia panggilku bertemu di surga,
kuharap kau pun dibawa ke sana.
Kini ku berdoa, berdoa bagimu.
Kini ku berdoa, berdoa bagimu.

Kau telah kenal Dia bersaksilah bagi-Nya,
bahwa Yesus Juruselamat kau dan ku.
Berdoalah tuk keselamatan temanmu,
kiranya doamu digenapi-Nya.
Kini ku berdoa, berdoa bagimu.
Kini ku berdoa, berdoa bagimu."
indonesia,Nyatakan Kehendak-Mu,B. B. McKinney,"Nyatakan kehendak-Mu di dalam hatiku.
Nyatakanlah, ya Yesus, tenangkan jiwaku.
Kehendak-Mu, O nyatakanlah, di dalam hatiku.
Ku menyerah, ku percaya, O nyatakanlah Tuhan.

Nyatakan kehendak-Mu, sucikan hidupku.
Nyatakanlah, ya Yesus, kuatkan hamba-Mu.
Kehendak-Mu, O nyatakanlah, di dalam hatiku.
Ku menyerah, ku percaya, O nyatakanlah Tuhan.

Nyatakan kehendak-Mu, hatiku milik-Mu.
Nyatakanlah, ya Yesus, pimpinlah hidupku.
Kehendak-Mu, O nyatakanlah, di dalam hatiku.
Ku menyerah, ku percaya, O nyatakanlah Tuhan."
indonesia,Yesus Berdoa Bagi Daku,Ben H. Price,"Yesus berdoa untukku dalam Getsemani.
Ia mengecap cawan pahit, peluh bagai darah.
Karena daku, Tuhan disalibkan!
Darah-Nya tebus dosaku,
Ia menderita, karena daku, daku.

Ia berkorban karena daku, di bukit Golgota.
Hai dengarlah Ia berkata, ""Genap, genap, genaplah.""
Karena daku, Tuhan disalibkan!
Darah-Nya tebus dosaku,
Ia menderita, karena daku, daku.

Hai kawanku, mengapakah tolak kasih-Nya Hu?
Mengapakah tak hampir Dia? Ia kan selamatkan kau.
Karena daku, Tuhan disalibkan!
Darah-Nya tebus dosaku,
Ia menderita, karena daku, daku."
indonesia,Ke Tempat Tinggi,"Johnson Oatman, Jr.","Ke tempat tinggi kutuju, seluruh jiwaku merindu.
Kunaikkan doa tiap waktu, Tuhan tetapkan jiwaku.
Tuhan tetapkan jiwaku lebih dekat kepada-Mu,
lebih tinggi ku merindu, di tempat yang lebih tinggi.

Akan kutinggalkan dosa serta usaha yang hampa.
Dengan penuh kupercaya, tempat yang tinggi kutuju.
Tuhan tetapkan jiwaku lebih dekat kepada-Mu,
lebih tinggi ku merindu, di tempat yang lebih tinggi.

Ke tempat tinggi kutuju walau musuh mengejarku.
Dengan iman kunyanyikan sukacita keselamatan.
Tuhan tetapkan jiwaku lebih dekat kepada-Mu,
lebih tinggi ku merindu, di tempat yang lebih tinggi.

Menuju tempat tertinggi kupandang cahaya berseri.
Tuhan pimpinlah jiwaku ke tempat yang tinggi itu.
Tuhan tetapkan jiwaku lebih dekat kepada-Mu,
lebih tinggi ku merindu, di tempat yang lebih tinggi."
english,Higher Ground,"Johnson Oatman, Jr.","I am pressing on the upward way,
new heights I am gaining every day.
Still praying as I onward bound,
""Lord, plant my feet on higher ground.""
Lord, lift me up and let me stand
by faith, on heaven is tableland;
a higher plane than I have found,
Lord, plant my feet on higher ground.

My heart has no desire to stay
where doubts arise and fears dismay.
Though some may dwell where those abound,
my prayer, my aim, is higher ground.
Lord, lift me up and let me stand
by faith, on heaven is tableland;
a higher plane than I have found,
Lord, plant my feet on higher ground.

I want to live above the world,
though Satan is darts at me are hurled.
For faith has caught the joyful sound,
The song of saints on higher ground.
Lord, lift me up and let me stand
by faith, on heaven is tableland;
a higher plane than I have found,
Lord, plant my feet on higher ground.

I want to scale the utmost height
and catch a gleam of glory bright.
But still I will pray till heaven I have found,
""Lord, plant my feet on higher ground.""
Lord, lift me up and let me stand
by faith, on heaven is tableland;
a higher plane than I have found,
Lord, plant my feet on higher ground."
english,Thy Loving Kindness,Hugh Mitchell,"Thy loving kindness is better than life.
Thy loving kindness is better than life.
My lips shall praise Thee, Thus will I bless Thee,
I will lift up my hands unto Thy Name.

I lift my hands, Lord, unto Thy name.
I lift my hands, Lord, unto Thy name.
My lips shall praise Thee, Thus will I bless Thee,
I will lift up my hands unto Thy Name.

Remembering Thee, Lord, Iam satisfied.
Remembering Thee, Lord, Iam satisfied.
My lips shall praise Thee, Thus will I bless Thee,
I will lift up my hands unto Thy Name.

Safe in Thy shadow, I will rejoice.
Safe in Thy shadow, I will rejoice.
My lips shall praise Thee, Thus will I bless Thee,
I will lift up my hands unto Thy Name."
english,Lord of the Universe,E. Margaret Clarkson,"Lord of the universe, hope of the world,
Lord of the limitless reaches of space,
here on this planet you put on our flesh,
vastness confined in the womb of a maid,
born in our likeness you ransomed our race.
Savior, we worship You, praise and adore.
help us to honor you more and yet more,
help us to honor you more and yet more!

Lord of the universe, hope of the world,
Lord of the infinite eons of time,
You came among us, lived our brief years,
tasted our griefs, our aloneness, our fears,
conquered our death, made eternity ours.
Savior, we worship You, praise and adore.
help us to honor you more and yet more,
help us to honor you more and yet more!


Lord of the universe, hope of the world,
send out your light to the ends of the earth.
May we who know you obey your command,
go with the grace of your gospel to all,
bringing salvation and freedom and joy.
Savior, we worship You, praise and adore.
help us to honor you more and yet more,
help us to honor you more and yet more!


Lord of the universe, hope of the world,
how Your creation cries out for release,
looks for you, longs for you, watches and waits,
prays for your kingdom of justice and peace!
Maker, Redeemer, triumphant One, come!
Savior, we worship You, praise and adore.
help us to honor you more and yet more,
help us to honor you more and yet more!
"
indonesia,Mazmur 42,Billy Kristanto,"Seperti rusa rindu sungai yang berair,
demikianlah jiwaku rindu Engkau, ya Allah;
Jiwaku haus pada Allah, pada Allah yang hidup.

Inilah hendak kuingat selagi jiwaku galau,
bagaimana ku berjalan maju ke rumah Allah
Dengan suara sorak-sorai dan nyanyian syukur.

Mengapa engkau tertekan, hai jiwaku yang galau?
Berharaplah pada Allah, sebab ku kan bersyukur
pada Engkau, ya Allah, Penolongku dan Allahku."
indonesia,Pandanglah Pada Yesus,Hellen H. Lemmel,"Lelah dan kacaukah jiwamu?
Semua gelap gulitakah?
Bahagia dan bebas bagimu,
terang Allahmu pandanglah.
Pandanglah pada Yesus.
Oh, pandang wajah-Nya mulia.
Isi dunia menjadi suram
oleh sinar kemuliaan-Nya.

Dari mati ke hidup baka,
kuikut jejak Tuhanku.
Dosa tak lagi berkuasa,
oleh Yesus terbelenggu.
Pandanglah pada Yesus.
Oh, pandang wajah-Nya mulia.
Isi dunia menjadi suram
oleh sinar kemuliaan-Nya.

Janji-Nya pasti terlaksana,
percayalah segenap jiwa.
Segera kabarkan ke dunia
keselamatan sempurna.
Pandanglah pada Yesus.
Oh, pandang wajah-Nya mulia.
Isi dunia menjadi suram
oleh sinar kemuliaan-Nya."
english,Turn Your Eyes Upon Jesus,Hellen H. Lemmel,"O soul, are you weary and troubled?
No light in the darkness you see?
There is light for a look at the Savior,
And life more abundant and free!
Turn your eyes upon Jesus,
look full in His wonderful face.
And the things of earth will grow strangely dim
In the light of His glory and grace.

Through death into life everlasting,
He passed, and we follow Him there.
Over us sin no more hath dominion
for more than conquerors we are!
Turn your eyes upon Jesus,
look full in His wonderful face.
And the things of earth will grow strangely dim
In the light of His glory and grace.

His word shall not fail you, He promised;
Believe Him and all will be well.
Then go to a world that is dying,
His perfect salvation to tell!
Turn your eyes upon Jesus,
look full in His wonderful face.
And the things of earth will grow strangely dim
In the light of His glory and grace."
english,Near To The Heart Of God,Cleland B. McAfee,"There is a place of quiet rest,
Near to the heart of God;
A place where sin cannot molest,
Near to the heart of God.
O Jesus, blest redeemer,
Sent from the heart of God;
Hold us, who wait before Thee,
Near to the heart of God.

There is a place of comfort sweet,
Near to the heart of God;
a place where we our Savior meet,
Near to the heart of God.
O Jesus, blest redeemer,
Sent from the heart of God;
Hold us, who wait before Thee,
Near to the heart of God.

There is a place of full release,
Near to the heart of God;
A place where all is joy and peace,
Near to the heart of God.
O Jesus, blest redeemer,
Sent from the heart of God;
Hold us, who wait before Thee,
Near to the heart of God."
indonesia,Kehendak Tuhan Jadikanlah,Adelaide A. Pollard,"Kehendak Tuhan jadikanlah,
ku tanah liat, Kau Penjunan.
Bentuklah aku sesuka-Mu,
aku menunggu di kaki-Mu.

Kehendak Tuhan jadikanlah,
tilik hatiku dan sucikan.
Di hadirat-Mu ku berserah,
Yesus Tuhanku, o terimalah.

Kehendak Tuhan jadikanlah,
pegang hidupku agar tahan.
Penuhi aku dengan Roh-Mu,
hiduplah Yesus di hatiku."
english,"Have Thine Own Way, Lord",Adelaide A. Pollard,"Have Thine own way, Lord! Have Thine own way!
Thou art the Potter, I am the clay.
Mold me and make me after Thy will,
While I am waiting, yielded and still.

Have Thine own way, Lord! Have Thine own way!
Search me and try me, Master, today!
Whiter than snow, Lord, wash me just now,
As in Thy presence humbly I bow.

Have Thine own way, Lord! Have Thine own way!
Wounded and weary, help me, I pray!
Power, all power, surely is Thine!
Touch me and heal me, Savior divine.

Have Thine own way, Lord! Have Thine own way!
Hold over my being absolute sway!
Fill with Thy Spirit till all shall see
Christ only, always, living in me."
indonesia,Kenal Kau Kan Yesus?,W. F. Lakey,"Beratkah beban hidupmu dalam dunia gelap?
O rindukah jiwamu kan perhentian tetap?
Kenal kau kan Yesus? Kenal kau, teman?
Kasih-Nya abadi, tak berubah hingga akhir zaman.

Ke manakah jalanmu hai musafir letih?
Siapa dengar keluhmu dalam malam gelap sepi?
Kenal kau kan Yesus? Kenal kau, teman?
Kasih-Nya abadi, tak berubah hingga akhir zaman.

Siapa kenal hidupmu dan sgala dukanya?
Siapa beri penghiburan, hilangkan air mata?
Kenal kau kan Yesus? Kenal kau, teman?
Kasih-Nya abadi, tak berubah hingga akhir zaman."
english,Do You Know My Jesus,W. F. Lakey,"Have you a heart that is weary,
tending a load of care?
Are you a soul that is seeking
Rest from the burden you bear?
Do you know my Jesus?
Do you know, my friend?
Have you heard He loves you,
And that He will abide till the end?

Where is your heart, oh, pilgrim?
What does your light reveal?
Who hears your call for comfort,
when naught but sorrow you feel?
Do you know my Jesus?
Do you know, my friend?
Have you heard He loves you,
And that He will abide till the end?

Who knows your disappointments?
Who hears each time you cry?
Who understands your heartaches?
Who dries the tears from your eyes?
Do you know my Jesus?
Do you know, my friend?
Have you heard He loves you,
And that He will abide till the end?"
indonesia,Sebenarnya Ku Tak Layak,Charlotte Elliott,"Sebenarnya ku tak layak,
namun ku diberi darah-Mu.
Dan Engkau memanggil aku,
Ya, Domba Allah, ku datang.

Kini ku datang pada-Mu,
sungguh aku tak berdaya.
Hanya darah-Mu basuhku,
Ya, Domba Allah, ku datang.

Dengan kasih Kau terimaku,
sucikanku, selamatkanku.
Janji-Mu pasti jadilah,
Ya, Domba Allah, ku datang."
english,"Just As I Am, Without One Plea",Charlotte Elliott,"Just as I am, without one plea,
But that Thy blood was shed for me,
and that Thou bidst me come to Thee,
O Lamb of God, I come, I come.

Just as I am, and waiting not
To rid my soul of one dark blot,
To Thee whose blood can cleanse each spot,
O Lamb of God, I come, I come.

Just as I am, though tossed about
with many a conflict, many a doubt,
Fightings and fears within, without,
O Lamb of God, I come, I come.

Just as I am, poor, wretched, blind;
Sight, riches, healing of the mind,
Yea, all I need in Thee to find,
O Lamb of God, I come, I come.

Just as I am, Thou wilt receive,
With welcome, pardon, cleanse, relieve;
Because Thy promise I believe,
O Lamb of God, I come, I come.

Just as I am, Thy love unknown
Hath broken every barrier down;
Now, to be Thine, Yea, Thine alone,
O Lamb of God, I come, I come."
indonesia,Jangan Engkau Lalu,Fanny J. Crosby,"Yesus Juruselamatku,
dengar doaku.
Janganlah Tuhan lalui,
berilah berkat-Mu.
Yesus, Yesus, dengar doaku.
Janganlah Engkau lalui, berilah berkat-Mu.

Aku bersujud pada-Mu,
janganlah lalu.
Terus kupandang pada-Mu,
berilah berkat-Mu.
Yesus, Yesus, dengar doaku.
Janganlah Engkau lalui, berilah berkat-Mu.

Engkau pohon kesukaan,
kesenanganku.
Tak seorang yang kusandar,
Engkau Tuhanku.
Yesus, Yesus, dengar doaku.
Janganlah Engkau lalui, berilah berkat-Mu.

Kau sumber penghiburanku
senantiasa.
Ku pinta Tuhan beserta
selama-lamanya.
Yesus, Yesus, dengar doaku.
Janganlah Engkau lalui, berilah berkat-Mu."
english,Pass Me Not,Fanny J. Crosby,"Pass me not, O gentle Savior,
hear my humble cry.
While on others Thou art calling,
Do not pass me by.
Savior, Savior, hear my humble cry.
While on others Thou art calling, do not pass me by.

Let me at Thy throne of mercy
find a sweet relief.
Kneeling there in deep contrition,
Help my unbelief.
Savior, Savior, hear my humble cry.
While on others Thou art calling, do not pass me by.

Trusting only in Thy merit,
would I seek Thy face.
Heal my wounded, broken spirit,
Save me by Thy grace.
Savior, Savior, hear my humble cry.
While on others Thou art calling, do not pass me by.

Thou the Spring of all my comfort,
more than life to me.
Whom have I on earth beside Thee?
Whom in heaven but Thee?
Savior, Savior, hear my humble cry.
While on others Thou art calling, do not pass me by."
indonesia,"Bukakan Mataku, Tuhan",Clara H. F. Scott,"Bukakan mataku, Tuhan,
tuk lihat kebenaran-Mu.
Beri padaku kunci ajaib,
tuk lepaskan belengguku.
Ku menantikan Tuhanku, kehendak-Mu yang jadilah,
Roh Kudus menyertaiku dan pimpinku.

Bukakan telingaku, Tuhan,
tuk mendengarkan firman-Mu;
agar apa yang kudengar
hanyalah Injil Tuhanku.

Bukakan mulutku, Tuhan,
tuk memberitakan Injil-Mu.
Buka hatiku, O Tuhan,
penuhi dengan kasih-Mu."
english,Open My Eyes That I May See,Clara H. F. Scott,"Open my eyes, that I may see
glimpses of truth Thou hast for me.
Place in my hands the wonderful key
That shall unclasp and set me free.
Silently now I wait for Thee,
ready my God, Thy will to see.
Open my eyes, illumine me,
Spirit divine!

Open my ears, that I may hear
Voices of truth Thou sendest clear;
And while the wave notes fall on my ear,
Everything false will disappear.

Open my mind, that I may read
more of Thy love in word and deed.
What shall I fear while yet Thou dost lead?
Only for light from Thee I plead.

Open my mouth, and let me bear
gladly the warm truth everywhere.
Open my heart and let me prepare,
Love with Thy children thus to share."
