language,title,author,lyrics
english,To God be the Glory,Fanny J. Crosby,"To God be the glory, great things He hath done;
So loved He the world that He gave us His Son,
Who yielded His life our redemption to win,
And opened the life-gate that all may go in.

Praise the Lord! praise the Lord!
Let the earth hear His voice!
Praise the Lord! Praise the Lord!
Let the people rejoice!
O come to the Father, through Jesus the Son,
And give Him the glory, great things He hath done.

O perfect redemption, the purchase of blood,
To every believer the promise of God;
The vilest offender who truly believes,
That moment from Jesus a pardon receives.

Great things He hath taught us, great things He hath done,
And great our rejoicing through Jesus the Son;
But purer, and higher, and greater will be
Our wonder, our transport, when Jesus we see."
indonesia,Atas Bumi Nan Permai,Folliott S. Pierpoint,"Atas bumi nan permai,
atas langit nan cerah,
atas kasih tersemai
dalam hidup semesta;

Kristus, kami panjatkan
puji, syukur, dan sembah.

Atas tiap kurnia
pada pagi dan petang,
atas bukit dan lembah,
surya, bintang yang terang;

Atas gereja milik-Nya,
yang ditopang tangan-Nya;
atasnya Dia berkorban
dengan kasih yang suci;

Atas seluruh karunia
yang diberi pada kita;
Dia Tuhan dan manusia
yang turun dari surga;
"
english,For The Beauty Of The Earth,Folliott S. Pierpoint,"For the beauty of the earth,
For the glory of the skies,
For the love which from our birth
over and around us lies;

Lord of all, to Thee we raise
This our hymn of grateful praise.

For the beauty of each hour,
Of the day and of the night,
Hill and vale, and tree and flower,
sun and moon, and stars of light;

For the joy of ear and eye,
For the heart and mind's delight,
For the mystic harmony
linking sense to sound and sight;

For the joy of human love,
Brother, sister, parent, child,
Friends on earth and friends above,
for all gentle thoughts and mild;

For thy Church, that evermore
Lifteth holy hands above,
Offering up on every shore
her pure sacrifice of love;

For the martyrs' crown of light,
For Thy prophets' eagle eye,
For Thy bold confessors' might,
for the lips of infancy;

For each perfect gift of Thine
To our race so freely given,
Graces human and divine,
flow'rs of earth and buds of heaven;"
indonesia,Ini Dunia Bapa,Maltbie D. Babcock,"Ini dunia Bapa, hai mari dengarlah!
Langit bumi memuji Dia, bintang pun menggema.
Ini dunia Bapa, hatiku tenanglah.
Pohon, bunga, langit, dan laut nyatakan kuasa-Nya.

Ini dunia Bapa, burung menyanyilah!
Terang fajar, mekar bunga memuji Pencipta.
Ini dunia Bapa, kasih-Nya besarlah,
dan semua yang bernafas nyatakan hadir-Nya.

Ini dunia Bapa, selalu ku ingatlah!
Kuasa dosa tak berjaya, hanya Ia berkuasa.
Ini dunia Bapa, hatiku bersuka.
Umat semua memuji Dia, nyatalah takhta-Nya.
"
english,This is My Father's World,Maltbie D. Babcock,"This is my Father's world,
and to my listening ears
All nature sings, and round me rings
the music of the spheres.
This is my Father's world:
I rest me in the thought
Of rocks and trees, of skies and seas;
His hand the wonders wrought.

This is my Father's world,
the birds their carols raise,
The morning light, the lily white,
declare their Maker's praise.
This is my Father's world:
He shines in all that's fair;
In the rustling grass I hear Him pass;
He speaks to me everywhere.

This is my Father's world.
O let me never forget
That though the wrong seems oft so strong,
God is the ruler yet.
This is my Father's world:
the battle is not done:
Jesus Who died shall be satisfied,
And earth and Heav'n be one.

This is my Father's world,
dreaming, I see His face.
I open my eyes, and in glad surprise cry,
""The Lord is in this place.""
This is my Father's world,
from the shining courts above,
The Beloved One, His Only Son,
came a pledge of deathless love.

This is my Father's world,
should my heart be ever sad?
The Lord is King — let the heavens ring,
God reigns let the earth be glad.
This is my Father's world.
Now closer to Heaven bound,
For dear to God is the earth Christ trod,
no place but is holy ground.

This is my Father's world.
I walk a desert lone.
In a bush ablaze to my wondering gaze
God makes His glory known.
This is my Father's world,
a wanderer I may roam
Whatever my lot, it matters not,
My heart is still at home."
english,Psalm 15,Billy Kristanto,"Lord, who may dwell in Your tent,
who may live on Your holy hill?
He, whose walk is blameless
and who does what is righteous,
Who speaks the truth from his heart
And has no slander on his tongue,
Who does his neighbor no wrong
And casts no slur on his fellowman,
Who honors those who fear, who fear the Lord.
He who does these things will never be shaken,
will never be, never be shaken."
indonesia,Allah Baik,,"Mari kita nyanyi semua: Allah baik!
Surga dan dunia puji Dia: Allah baik!
Mari semua datanglah, nyanyilah di muka Allah,
Dengan lagu amat merdu: Allah baik!
Allah baik! Allah baik!
Dengan lagu amat merdu: Allah baik!

Kabarkanlah ke tempat jauh: Allah baik!
Ada tempat di rumah Hu: Allah baik!
Kristuslah pelepas dosa, terang dalam gelap diberikan-Nya.
Yang terlepas bersoraklah: Allah baik!
Allah baik! Allah baik!
Yang terlepas bersoraklah: Allah baik!

Dan kalau hatiku lemah: Allah baik!
Dia batu karang yang kuasa: Allah baik!
Sungai Yordan dan lautan tak membawa ketakutan.
Serta Tuhan kita jalan: Allah baik!
Allah baik! Allah baik!
Serta Tuhan kita jalan: Allah baik!"
english,God Is Our Refuge And Our Strength,Scottish Psalter,"God is our refuge and our strength,
our ever present aid.
And therefore, though the earth be moved,
we will not be afraid;
though hills into the seas be cast,
though foaming waters roar,
though all the mighty billows shake
the mountains on the shore.

A river flows whose streams make glad
the city of our God,
the holy place wherein the Lord
Most High has His abode.
Since God is in the midst of her,
unmoved her walls shall stand;
for God will hasten to her aid
when trouble is at hand.

The nations rage, the kingdoms move,
but when His voice is heard,
earth melts with trembling fear before
the thunder of His word.
The Lord of hosts is on our side,
our safety to secure;
the God of Jacob is for us
a refuge strong and sure.

O come and see that wondrous works
the hand of God has done.
Come, see what desolation great
he brings beneath the sun.
In every corner of the earth
he causes wars to cease;
the weapon of the strong destroyed,
He makes abiding peace.

Be still and know that I am God,
the Lord whom all must claim.
And every nation of the earth
shall magnify my name.
The Lord of Hosts is on our side,
our safety to secure;
the God of Jacob is for us
a refuge strong and sure."
indonesia,Besar Setia-Mu,Thomas O. Chisholm,"Besar setia-Mu, Allah Bapaku,
besarlah kasih-Mu berkelimpahan.
Tiada kurang dan tidak berubah,
sempurna dan tetap selamanya.

Besar setia-Mu, besar setia-Mu,
tiap pagi nampak rahmat baru.
Segala yang kuperlu telah Hu sediakan,
Besar setia-Mu kepadaku.

Matahari serta bintang dan bulan
menyaksikan kesetiaan Tuhan.
Musim menuai dan musim apa pun
menyaksikan kasih setia-Mu.

Pengampunan dosa memberikan damai,
kehadiran Tuhan menghiburkan.
Kekuatan dan pengharapan tiap hari,
berkat berkelimpahan kualami."
english,Great is Thy Faithfulness,Thomas O. Chisholm,"Great is thy faithfulness, O God my Father;
There is no shadow of turning with Thee;
Thou changest not, Thy compassions, they fail not;
As thou hast been, Thou forever will be.

Great is Thy faithfulness! Great is thy faithfulness!
Morning by morning new mercies I see.
All I have needed Thy hand hath provided;
Great is Thy faithfulness, Lord, unto me!

Summer and winter and springtime and harvest,
Sun, moon and stars in their courses above
Join with all nature in manifold witness
To Thy great faithfulness, mercy and love.

Pardon for sin and a peace that endureth
Thy own dear presence to cheer and to guide;
Strength for today and bright hope for tomorrow,
Blessings all mine, with ten thousand beside!"
indonesia,Allah Jadi Benteng Kukuh,Martin Luther,"Allah jadi benteng kukuh,
perlindunganku yang teguh.
Meski banyak susah sukar,
pertolongan-Nya beri gemar.
Meski musuh sigap, senjatanya lengkap,
menyusahkan kita dengan tipu daya,
Tapi Kristus selalu jaga.

Jika sandar kuat diri,
pasti kita kan kalah.
Barisan kita dipimpin
Panglima tentara Allah.
Bertanyakah engkau, siapakah Dia?
Yesuslah nama-Nya, dan tetap adanya.
Dialah Pemimpin kita.

Sabda Allah yang berkuasa
Tinggal tetap selamanya.
Roh-Nya jadi milik kita
Dan memihak pada kita.
Lenyaplah dunia dengan hidup fana,
badanku dibunuh, Allah tetap teguh,
Takhta-Nya tetaplah kukuh."
indonesia,Nyamanlah Jiwaku,Horatio G. Spafford,"Bila damai mengiring jalan hidupku
rasa aman di hatiku
tiap keadaan yang menimpaku,
Kau ajarku ingat firman-Mu.

Nyamanlah jiwaku,
Nyamanlah, nyamanlah jiwaku.

Dalam pergumulan dan pencobaan
Kristus memberikan jaminan
dan mempedulikan kehinaanku
darah-Nya membasuh jiwaku.

Tuhan lekaskanlah harinya tiba
iman pun akan tampaklah
dan sangkakala pun akan berbunyi,
Tuhan segera turun ke bumi."
indonesia,Engkau Milikku Abadi,Fanny J. Crosby,"Engkau milikku abadi, segalanya bagiku;
Di sepanjang ziarahku ingin ku bersama-Mu.
Ku dekat pada-Mu, ku dekat pada-Mu;
Di sepanjang ziarahku ingin ku bersama-Mu.

Bukan nikmat duniawi yang menjadi doaku;
ku senang bersusah payah asal Kau bersamaku.
Ku dekat pada-Mu, ku dekat pada-Mu;
ku senang bersusah payah asal Kau bersamaku.

Tuhan pimpin hidup hamba, dalam susah dan senang;
hingga masuk surga kekal, dengan Tuhan selamanya!
Ku dekat pada-Mu, ku dekat pada-Mu;
hingga masuk surga kekal, dengan Tuhan selamanya!"
indonesia,Ku Bersandar pada Yang Kekal,E. A. Hoffman,"Alangkah girang dan bahagia,
ku bersandar pada yang kekal.
karunia besar diberi oleh-Nya,
sandar pada lengan yang kekal.

Sandar, sandar, sandar Hu tentu kuat teguh.
Sandar, sandar, ku bersandar pada yang kekal.

Jalan musafir indah dan permai,
ku bersandar pada yang kekal.
jalanku cerah, hilang yang getir,
sandar pada lengan yang kekal.

Hilanglah cemas, hilang takutku,
ku bersandar pada yang kekal.
hatiku aman, Tuhan panduku,
sandar pada lengan yang kekal."
indonesia,"Tuntun Aku, Tuhan Allah",William Williams,"Tuntun aku Tuhan Allah lewat gurun dunia.
Kau perkasa dan setia, bimbing aku yang lemah.
Roti surga, Roti surga, puaskanlah jiwaku,
puaskanlah jiwaku.

Buka sumber Air Hidup, penyembuhan jiwaku,
dan berjalanlah di depan dengan tiang awan-Mu.
Juruselamat, Juruselamat, Kau Perisai hidupku,
Kau Perisai hidupku!

Pada tepi Sungai Yordan, hapuskanlah takutku.
Ya, Penumpas kuasa maut, tuntun aku serta-Mu.
Pujianku, pujianku bagi-Mu selamanya,
bagi-Mu selamanya."
english,Be Strong In The Lord,Linda Lee Johnson,"Be strong in the Lord, and be of good courage;
Your mighty Defender is always the same.
Mount up with wings, as the eagle ascending;
Victory is sure when you call on His name.

Be strong, be strong, be strong in the Lord;
And be of good courage, for He is your guide.
Be strong, be strong, be strong in the Lord;
And rejoice for the victory is yours.

So put on the armour the Lord has provided;
And place your defense in His unfailing care.
Trust Him, for He will be with you in battle;
Lighting your path to avoid every snare.

Be strong in the Lord, and be of good courage;
Your mighty commander will vanquish the foe.
Fear not the battle, for the victory is always His;
He will protect you wherever you go."
indonesia,Sepanjang Jalan Tuhan Pimpin,Fanny J. Crosby,"Sepanjang jalan Tuhan pimpin, itu cukup bagiku.
Rahmat-Nya selalu serta dan melindungi daku.
Penghiburan dari surga jika Tuhan sertaku.
Karena tentulah semua diperbuat-Nya baik itu.
Karena tentulah semua diperbuat-Nya baik itu.

Sepanjang jalan Tuhan pimpin, meski jalanku tak senang.
Diberi rahmat dalam ujian, roti hidup tak kurang.
Meski ku merasa haus penat dan jiwa menanggung berat.
Dari batu air memancar, terbitlah kegirangan.
Dari batu air memancar, terbitlah kegirangan.

Sepanjang jalan Tuhan pimpin, kasih-Nya amat penuh.
Dijanjikan perhentian yang indah amat teguh.
Bila Yesus Kristus datang, kemuliaan-Nya kupandang.
Selamanya ku mau bersorak, ""Yesus pimpin jalanku.""
Selamanya ku mau bersorak, ""Yesus pimpin jalanku."""
indonesia,Ku Tahu Siapa Yang Kupercaya,Daniel W. Whittle,"Ku tak mengerti anugerah Tuhan
yang diperbuat-Nya bagiku.
Tak layak ku menerima kasih-Nya,
tebusku jadi milik-Nya.

Namun ini yang kupercaya
bahwa Dia dapat memelihara
apa yang telah kuserahkan
waktu aku percaya.

Betapa heran aku dapatkan
iman yang menyelamatkanku,
dan percaya kepada firman-Nya,
beroleh damai di hati.

Ku tak mengerti kuasa Roh Kudus
mengubah orang berdosa,
Meyakinkan tentang Tuhan Yesus
menjelma jadi manusia.

Ku tak tahu bagaimana hidupku
mengembara di dunia;
sehat, lemah, susah, atau senang,
sebelum berjumpa dengan-Nya.

Ku tak tahu kapan Tuhanku datang,
di siang ataupun malam;
Mungkin ku sedang melayani-Nya,
atau ku sudah tiada."
english,I Know Whom I Believed,Daniel W. Whittle,"I know not why God's wondrous grace
To me He hath made known,
Nor why, unworthy, Christ in love
redeemed me for His own.
But I know whom I have believed,
And am persuaded that He is able
To keep that which I have committed
unto Him against that day.

I know not how this saving faith
To me He did impart,
Nor how believing in His Word
wrought peace within my heart.

I know not how the Spirit moves,
convincing us of sin,
Revealing Jesus through the Word,
creating faith in Him.

I know not what of good or ill
may be reserved for me;
Of weary ways or golden days,
before His face I see.

I know not when my Lord may come,
at night or noonday fair;
Nor if I walk the vale with Him,
or meet Him in the air."
indonesia,Jaminan Mulia,Fanny J. Crosby,"Sungguh dan pasti jaminan Hu,
Yesus milikku selamanya.
Ku mendapatkan keselamatan,
lahir baru oleh Roh Kudus.

Setiap hari kumasyhurkan,
memuji Yesus Penebusku.
Setiap hari kumasyhurkan,
memuji Yesus Penebusku.

Aku berserah kepada-Nya,
kini merasa sukacita.
Malaikat datang mewartakan
anugerah dan kasih Tuhan.

Karena serahkan segalanya,
ku memperoleh kelegaan.
Dalam Penebus tersedia
Berkat bahagia yang berlimpah."
english,Blessed Assurance,Fanny J. Crosby,"Blessed assurance, Jesus is mine!
Oh, what a foretaste of glory divine!
Heir of salvation, purchase of God,
Born of His Spirit, washed in His blood.

This is my story, this is my song,
praising my Savior, all the day long.
This is my story, this is my song,
Praising my Savior, all the day long.

Perfect submission, perfect delight,
Visions of rapture now burst on my sight;
angels descending, bring from above
Echoes of mercy, whispers of love.

Perfect submission, all is at rest,
I in my Savior am happy and blest;
Watching and waiting, looking above,
Filled with His goodness, lost in His love."
indonesia,Bapa Surgawi Memeliharaku,W. C. Martin,"Kepada Allah aku berharap,
di darat atau di laut yang gelap.
Setiap saat waktu penat,
Bapa Surgawi memeliharaku.

Aku berharap pada Tuhanku,
Di ngarai atau dalam laut menderu.
ku tak gentar, Ia tak ingkar,
Bapa Surgawi memeliharaku.

Bunga di padang dipelihara-Nya,
burung di langit pun dibimbing-Nya.
Sudah tentu termasuk ku,
Bapa Surgawi memeliharaku.

Walaupun jalanku jadi gelap,
Juruselamatku tak pernah lelap.
Dipimpin-Nya aku pulang,
Bapa Surgawi memeliharaku."
english,My Heavenly Father Watches Over Me,W. C. Martin,"I trust in God wherever I may be,
upon the land, or on the rolling sea.
For come what may, from day to day,
My heavenly Father watches over me.

I trust in God, I know He cares for me,
on mountain bleak or on the stormy sea.
Though billows roll, He keeps my soul;
My heavenly Father watches over me.

He makes the rose an object of His care,
He guides the eagle through the pathless air,
and surely He remembers me,
My heavenly Father watches over me.

I trust in God, for, in the lion's den,
On battlefield, or in the prison pen,
through praise or blame, through flood or flame,
My heavenly Father watches over me.

The valley may be dark, the shadows deep,
But, oh, the Shepherd guards His lonely sheep;
And through the gloom He'll lead me home,
My heavenly Father watches over me."
indonesia,Malam Kudus,Joseph Mohr,"Malam Kudus, sunyi senyap,
Siapa yang belum lelap;
ayah bunda yang tinggallah terus,
jaga Anak yang Maha Kudus;
Anak tidur tenang,
Anak tidur tenang.

Malam Kudus, sunyi senyap,
Kabar baik menggegap;
Bala surga menyanyikannya,
kaum gembala menyaksikannya,
""Lahir Raja Syalom.
Lahir Raja Syalom.""

Malam Kudus, sunyi senyap,
Karunia dan berkat;
Tercermin bagi kami terus
di wajah-Mu, ya Anak Kudus,
Cinta kasih kekal,
Cinta kasih kekal."
english,Silent Night,Joseph Mohr,"Silent night, holy night,
all is calm, all is bright.
Round yon virgin mother and Child;
Holy Infant, so tender and mild,
Sleep in heavenly peace,
Sleep in heavenly peace.

Silent night, holy night,
Shepherds quake at the sight;
Glories stream from heaven afar,
Heavenly hosts sing Alleluia!
Christ the Savior is born.
Christ the Savior is born!

Silent night, holy night,
Son of God, love's pure light;
radiant beams from Thy holy face,
With the dawn of redeeming grace,
Jesus, Lord, at Thy birth,
Jesus, Lord, at Thy birth.

Silent night, holy night,
Wondrous star, lend thy light;
With the angels let us sing,
Alleluia to our King;
Christ the Savior is born.
Christ the Savior is born!"
indonesia,Karena Allah Cinta,Alfred B. Smith,"Karena Allah cinta, diberikan Anak-Nya,
Mati di Golgota, membebaskan saya.
Ia kan datang pula, alangkah mulia,
kasih-Nya pada saya."
english,For God So Loved The World,Alfred B. Smith,"For God so loved the world, He gave His only Son,
To die on Calvary's tree, from sin to set me free.
Someday He is coming back, what glory that will be!
Wonderful His love to me."
indonesia,Dunia Gemar dan Soraklah,Isaac Watts,"Dunia gemar dan soraklah, Penebus datanglah.
Beri hatimu kepada-Nya, sekalian nyanyilah.
Sekalian nyanyilah, sekalian nyanyilah,
Sekalian orang bernyanyilah.

Dunia gemar dan soraklah, Rajawi lahirlah.
Segenap alam dan makhluk-Nya, nyanyikan pujian.
Sembahkan pujian, sembahkan pujian,
Sembahkan, sembahkan pujian.

Dosa tak lagi berkuasa di dalam dunia.
Tuhan menjadi manusia, membawa sejahtera.
Penuh sukacita, penuh sukacita,
Penuhlah, penuh sukacita.

Yesus yang perintahkan dunia dengan anugerah-Nya.
Ternyata kuasa yang mulia, ajaiblah kasih-Nya.
Ajaiblah kasih-Nya, ajaiblah kasih-Nya,
Ajaib, ajaiblah kasih-Nya."
indonesia,"Jesus, The Very Thought of Thee",John B. Dykes,"Jesus, the very thought of thee,
with sweetness fills my heart;
But sweeter far Thy face to see,
and in Thy presence rest.

No voice can sing, no heart can frame,
nor can the memory find
A sweeter sound than Thy blest name,
O Savior of mankind!

O hope of every contrite heart,
O joy of all the meek;
To those who fall, how kind Thou art!
How good to those who seek!

But what to those who find? Ah, this,
nor tongue nor pen can show;
The love of Jesus, what it is,
none but His loved ones know.

Jesus, our only joy be Thou,
as Thou our prize wilt be;
Jesus, be Thou our glory now,
and through eternity."
indonesia,Dengarlah Malak Menyanyi,Charles Wesley,"Dengarlah malak menyanyi,
""Mulia bagi Raja!""
Diberi damai atas bumi,
Anak Allah lahirlah.
Sekalian bangsa bersukalah,
ikut nyanyian di surga.
Yesus Anak Allah
telah lahir di Betlehem.
Dengarlah malak nyanyi,
""Mulia bagi Sang Raja!""

Isi surga menyembah
Kristus Tuhan yang kekal.
Sekarang Yesus telah menjelma,
Allah jadi manusia.
Raja ini beri sentosa,
mengampuni yang berdosa.
Allah beserta kita,
nama-Nya Imanuel.
Dengarlah malak nyanyi,
""Mulia bagi Sang Raja!""

Raja Damai yang besar,
matahari yang benar,
sudah terbit dan memberi terang
serta hidup yang senang.
Karena kita ditanggalkan
semua kemuliaan;
lahir untuk memberi
hidup kekal abadi.
Dengarlah malak nyanyi,
""Mulia bagi Sang Raja!"""
english,Hark! The Herald Angels Sing,Charles Wesley,"Hark! The herald angels sing,
""Glory to the newborn King!
Peace on earth, and mercy mild,
God and sinners reconciled!""
Joyful, all ye nations, rise,
join the triumph of the skies;
with the angelic host proclaim,
""Christ is born in Bethlehem!""
Hark! The herald angels sing,
""Glory to the newborn King!""

Christ, by highest heaven adored;
Christ, the everlasting Lord!
Late in time, behold Him come,
offspring of the favored one.
Veiled in flesh, the Godhead see;
hail, the incarnate Deity.
Pleased, as man, with men to dwell,
Jesus, our Emmanuel.
Hark! The herald angels sing,
""Glory to the newborn King!""

Hail, the heaven-born Prince of Peace!
Hail, the Sun of Righteousness!
Light and life to all He brings,
risen with healing in His wings.
Mild He lays His glory by,
born that man no more may die,
born to raise the sons of earth,
born to give them second birth.
Hark! The herald angels sing,
""Glory to the newborn King!"""
indonesia,Di Malam Sunyi Betlehem,Phillips Brooks,"Di malam sunyi Betlehem, nyenyak kau tidurlah,
Sehingga tak kau lihat terang abadi dan cerah,
Yang terbit di tengahmu di masa yang genap.
Terwujud harap umat Hu dan takutnya lenyap.

Sang Kristus sudah lahirlah, Maria ibu-Nya.
Di waktu dunia tidurlah, malak menjaga-Nya.
Masyhurkan bala surga Sang Anak yang kudus,
Yang datang dalam dunia menjadi Penebus.

Anugerah besar diberikan di malam yang tenang;
Tuhan menjadi manusia, berkat dari surga.
Tiada yang mendengar Dia datang ke dunia,
Namun Kristus pun bertakhta di hati yang lemah.

Kumohon Anak yang Kudus, Kau datang padaku.
Ampuni dosaku segenap, kuduskan hatiku.
Kau saja dapat tolong meskipun Kau kecil.
Ya Tuhan, tinggal sertaku, Engkau Imanuel."
indonesia,Pada Tengah Malam Itu,Edmund H. Sears,"Pada tengah malam itu terdengarlah pujian.
Tunduklah segala malaikat, serta main kecapi mas.
Sejahtera bagi manusia, berkat rahmat limpah.
Waktu itu dunia senyap, dengar malak nyanyi.

Kini surga terbukalah, malaikat-Nya turunlah.
Pujian masih terdengarlah, letih lesu lenyaplah.
Malaikat buka sayapnya, tilik duka dunia.
Di atas kacau dunia dengar malak nyanyi.

Manusia penuh sengsara, tertindas beban dosa.
Selalu banyak rintangan bagai pegunungan.
Rindu zaman keemasan segera akan tiba.
Kan mendapat perhentian, dengar malak nyanyi."
