language,title,author,lyrics
indonesia,Tuhan Yesus Gembalaku,Scottish Psalter,"Tuhan Yesus gembalaku, dihantar-Nya aku;
Ke padang rumput yang hijau telaga air tenang.

Diberi-Nya jiwaku segar dan karena nama-Nya;
Ditunjukan-Nya jalanku yang lurus dan baka.

Tak usah takut hatiku, di lembah maut gelap;
Sebab ku rasakan tongkat-Mu, penghiburan tetap.

Kau panggil ke perjamuan, di depan musuhku;
Kepalaku Kau urapi, dan limpah cawanku.

Rahmat Tuhan kawaliku, seumur hidupku;
Di rumah Tuhan selamanya, ku tinggal dengan senang."
english,"Jesu, Joy Of Mans Desiring",J. S. Bach,"Jesu, joy of mans desiring,
Holy wisdom, love most bright.
Drawn by Thee our souls aspiring,
Soar to uncreated light.
Word of God, our flesh that fashioned,
With the fire of faith impassioned,
Striving still to truth unknown,
Soaring dying round Thy throne."
indonesia,Yang Mau Dibimbing oleh Tuhan,George Neumark,"Yang mau dibimbing oleh Tuhan,
dan yang berharap tak henti,
akan mendapat pertolongan,
Bahkan di saat tersedih.
Tuhanlah dasar imannya,
bukanlah pasir alasnya.

Jangan kau sangka bahwa Tuhan
kan meninggalkan anak-Nya,
dan bahwa hanya kemujuran
tanda dan bukti kasih-Nya.
Nanti bagimu nyatalah
betapa agung maksud-Nya.

Tetaplah kau di jalan Tuhan,
setia dalam tugasmu.
Dengan berkat yang tak berkurang,
Hidupmu dibaharui.
Yang kepada-Nya berserah,
tak ditinggalkan oleh-Nya."
indonesia,Kekuatan Serta Penghiburan,Carolina Sandell Berg,"Kekuatan serta penghiburan
diberikan Tuhan padaku.
Tiap hari aku dibimbing-Nya;
tiap jam dihibur hatiku.
Dan sesuai dengan hikmat Tuhan,
ku diberi apa yang kuperlu.
Suka dan derita bergantian
memperkuat imanku.

Tiap hari Tuhan besertaku,
diberi rahmat-Nya tiap jam.
Diangkat-Nya bila aku jatuh,
dihalau-Nya musuhku kejam.
Yang namanya Raja Maha Kuasa,
Bapa yang kekal dan abadi,
Mengimbangi duka dengan suka
dan menghibur yang sedih."
indonesia,Hatiku Memuji Tuhan,Charles Wesley,"Hatiku memuji Tuhan, dengan hati bebas;
Kuasa darah-Mu kualami tercurah di hati.

Hatiku rendah bertobat, bersih dan percaya;
Hidup, mati, tak pisahkanku dari kasih Tuhan.

Hatiku baharuilah, penuhi dengan kasih;
Sempurna, suci, dan benar serupa dengan Tuhan.

Segera datang ya Tuhanku, jadikan ku baru;
Seluruh jiwa hatiku, muliakan Nama-Mu."
english,O For A Heart To Praise My God,Charles Wesley,"O for a heart to praise my God,
a heart from sin set free,
a heart that always feels Thy blood
So freely shed for me.

A humble, lowly, contrite heart,
Believing, true and clean,
Which neither life nor death can part
from Christ who dwells within.

A heart in every thought renewed
And full of love divine,
Perfect and right and pure and good,
A copy, Lord, of thine.

Thy nature, gracious Lord, impart;
Come quickly from above;
Write Thy new name upon my heart,
Thy new, best name of Love."
indonesia,"Yesus, Sumber Penghiburan",Ernst Christoph Homburg,"Yesus, Sumber Penghiburan, yang disalib, dikuburkan,
kini bangkit dan menang, Raja Hidup dan Terang.
Kubur tak menahan lagi Sang Pahlawan yang Ilahi.
Haleluya, Haleluya!

Oleh Dia yang perkasa, Kuasa Iblis telah binasa,
ya, setiap lawan-Nya kini sudah menyerah.
Hai, bernyanyi Putri Sion bersyukur dengan pujian.
Haleluya, Haleluya!

Dalam siang kemenangan, ditelanlah maut dan malam.
Maut, di mana jayamu dan sengat ancamanmu?
Surgalah warisan kami, Kristus telah membawa damai.
Haleluya, Haleluya!"
indonesia,Tinggalkan Jalan Susah Dan Gelap,William T. Sleeper,"Tinggalkan jalan susah dan gelap, pada Yesus ku datanglah.
Ku masuk tempat senang dan terang, Yesus ku datanglah.
Tinggalkan lemah dikuatkan, dari miskin menjadi kaya.
Tinggalkan segala dosaku, Yesus ku datanglah.

Tinggalkan segala kegagalan, pada Yesus ku datanglah.
Mendapatkan kemuliaan-Mu, Yesus ku datanglah.
Tinggalkan kesusahan dunia, masuk ke dalam ketenangan.
Tinggalkan segala cemasku, Yesus ku datanglah.

Tinggalkan semua kesombongan, pada Yesus ku datanglah.
Memperoleh berkat yang besar, Yesus ku datanglah.
Tinggalkan keputusasaan, menikmati kasih-Mu selalu.
Memandang kemuliaan-Mu, Yesus ku datanglah."
indonesia,Bangunkan Kami,William P. Mackay,"Terpuji Allah karena kasih-Nya,
yang mengutus Anak-Nya mati disalib;

Haleluya, puji Tuhan! Haleluya! Amin!
Haleluya, puji Tuhan, bangunkan kami!

Terpuji Allah Roh Kudus, Roh Terang,
yang mengantar jiwaku kepada Kristus;

Segala puji bagi Anak Domba,
yang mati disalib menebus dosaku;

Penuhilah kami dengan kasih suci,
dengan api Roh Kudus bakar hatiku;"
indonesia,Ya Tuhan Bimbing Aku,Julie von Hausmann,"Ya Tuhan bimbing aku di jalanku,
supaya ku selalu bersama-Mu.
Ku tak mau melangkah setapak pun,
jikalau Kau tak ada di sampingku.

Lindungilah hatiku di rahmat-Mu,
Dan buatlah batinku tenang teduh.
Dekat kaki-Mu saja ku mau rebah,
Dan tidak ragu-ragu ku berserah.

Kendati tak ku rasa kuasa-Mu,
Engkau senantiasa di sisiku.
Ya Tuhan, bimbing aku di jalanku,
sehingga ku selalu bersama-Mu."
indonesia,Yesus Mencariku,,"Yesus telah lahir di Betlehem,
terbaring di palungan yang hina.
Oh, betapa ajaib anugerah-Nya,
Yesus cari daku.

Yesus cari daku,
Yesus cari daku.
Oh, betapa ajaib anugerah-Nya,
Yesus cari daku.

Di Golgota Yesus tersaliblah
untuk keselamatan jiwaku.
Oh, sungguh ajaib rahmat kasih-Nya,
Ia mati bagiku.

Ia mati bagiku,
Ia mati bagiku.
Oh, sungguh ajaib rahmat kasih-Nya,
Ia mati bagiku.

Oh, Yesus tidak pernah berubah,
meski ku sesat menjauhkan Dia.
Ia selalu mendoakan daku,
Ia datang panggilku.

Ia datang panggilku,
Ia datang panggilku.
Ia selalu mendoakan daku,
Ia datang panggilku."
indonesia,Lebih baik Yesus,Rhea F. Miller,"Lebih baik Yesus, bukan harta,
ku milik Yesus, bukan milik harta.
Lebih baik Yesus, bukan gedung,
tuntunlah daku dengan tangan-Mu.

Ku tak mau jadi raja dunia,
di bawah kuasa dosa;
Yesus yang kupilih, bukan dunia,
dan kemewahannya.

Lebih baik Yesus, bukan mulia,
ku mau berkorban hidup untuk Tuhan.
Lebih baik Yesus, bukan nama,
rela setia kabarkan Injil.

Lebih baik Yesus dari bakung,
terlebih manis daripada madu.
Dengan haus ku datang kepada-Mu,
Tuhan sertaku, indahlah sungguh."
indonesia,Raja Mulia,Somerset C. Lowry,"Juruselamat, Raja mulia, atas setaru menanglah.
Dengan awan yang mulia, ke surga Tuhan naik.
Haleluya bersoraklah, malaikat memuji Dia.
Pintu surga terbukalah sambut Raja termulia!

Siapakah Raja mulia, nafiri berbunyilah.
Raja menang sang pahlawan yang penuh kemuliaan.
Atas salib menderita, Dia bangkit dari kematian.
Dosa hapus, Iblis kalah, Kristus Yesus menanglah.

Yesus Kristus naik ke surga, duduk di kanan Bapa.
Bila kita sandar Dia, tentu kita menanglah.
Kristus Raja yang disembah makhluk serta malaikat-Nya.
Kristus sudah naik ke surga, kelak ku pun ke sana."
indonesia,Ku Perlukan Juruselamat,Fanny J. Crosby,"Ku perlukan Juruselamat agar ku tak tersesat,
dan ku harus merasakan bahwa Tuhanku dekat.

Maka jiwaku teduh, tiada takut dan gentar;
bila Tuhanku menuntun, tiada aku mengeluh.

Ku perlukan Juruselamat karena imanku lemah;
Ia menghibur, menguatkan, sungguh tiada bandingnya.

Ku perlukan Juruselamat agar ku dibimbing-Nya,
melintasi arus Yordan, hantar ku ke seberang."
indonesia,Indahlah Ikatan Dalam Kasih-Nya,John Fawcett,"Indahlah ikatan dalam kasih Tuhan,
sehati dan bersekutu, laksana di surga.

Bersama semua ketika berbakti,
mencurahkan isi hati di depan takhta-Nya.

Beban berat, ringan bersama ditanggung,
bila ada kawan susah, kita pun rasakan.

Surga tiada susah, dosa tak bertahan,
kasih Tuhanku sempurna sampai selamanya."
indonesia,Menjadi Seorang Kristen,Afro - African,"Menjadi seorang Kristen, ku ingin ya Tuhan,
Menjadi seorang Kristen, dalamku.
di dalam, hatiku,
Menjadi seorang Kristen, dalamku.

Semakin mengasihi-Mu, ku ingin ya Tuhan,
Semakin mengasihi-Mu, dalamku.
di dalam, hatiku,
Semakin mengasihi-Mu, dalamku.

Hati yang semakin kudus, ku ingin ya Tuhan,
Hati yang semakin kudus, dalamku
di dalam, hatiku,
Hati yang semakin kudus, dalamku

Menjadi serupa Yesus, ku ingin ya Tuhan,
Menjadi serupa Yesus, dalamku.
di dalam, hatiku,
Menjadi serupa Yesus, dalamku."
english,"Lord, I Want To Be A Christian",Afro - African,"Lord, I want to be more loving in my heart, in my heart.
Lord, I want to be more loving in my heart, in my heart.
In my heart, in my heart,
Lord, I want to be more loving in my heart, in my heart.

Lord, I want to be more holy in my heart, in my heart.
Lord, I want to be more holy in my heart, in my heart.
In my heart, in my heart,
Lord, I want to be more holy in my heart, in my heart.

Lord, I want to be like Jesus in my heart, in my heart.
Lord, I want to be like Jesus in my heart, in my heart.
In my heart, in my heart,
Lord, I want to be like Jesus in my heart, in my heart."
english,Moment by Moment,Daniel W. Whittle,"Dying with Jesus, by death reckoned mine,
Living with Jesus a new life divine;
Looking to Jesus till glory doth shine,
Moment by moment, O Lord I am Thine,

Never a trial that He is not there,
Never a burden that He doth not bear;
Never a sorrow that He doth not share,
Moment by moment, I am under His care.

Never a heartache and never a groan,
Never a teardrop and never a moan;
Never a danger but there on the throne,
Moement by moment, He thinks of His own.

Never a weakness that He doth not feel,
Never a sickness that He cannot heal;
Moment by moment, in woe or in weal,
Jesus My Saviour, abides with me still."
indonesia,Kota Sion Kota Allah,John Newton,"Besar, Perkasa dan mulia, O Sion, kota Allah,
Kau dibangun oleh Dia, sumber firman yang benar,
Tak berguncang, kokoh, teguh, Batu Karang dasarmu,
Keselamatan benteng kotamu, musuhmu gentar dan rebah.

Umat Tuhan ditudungi, awan pekat dan api,
Tuhan Allah dalam mulia, turun dekat padamu,
Beri naungan pada siang, beri terang pada malam,
Dengan manna Kau selamatkan umat-Mu yang berdoa.

Umat Tuhan, dibasuh-Nya dalam darah Penebus,
Bernaung di kota Sion, jiwanya sandar Yesus,
Dia jadikan umat kudus, Imamat yang Rajani,
Puji syukur, penuh kasih pada Tuhan diberi.

Sebab anugrah Juruselamat, ku jadi warga surga,
Walau dunia menekanku, kan ku puji nama-Mu,
Isi dunia dan congkaknya, hilang lenyap dan musnah,
Sukacita, harta kekal, ku tau jadi milikku."
english,Glorious Things of Thee Are Spoken,John Newton,"Glorious things of thee are spoken,
Zion, city of our God!
He, whose Word cannot be broken,
Formed thee for His own abode;
On the Rock of Ages founded,
What can shake thy sure repose?
With salvation is walls surrounded,
Thou mayest smile at all thy foes.

Round each habitation hovering,
See the cloud and fire appear,
For a glory and a covering,
Showing that the Lord is near;
Thus deriving from our banner
Light by night and shade by day,
Safe they feed upon the manna,
Which He gives them when they pray.

Saviour, if of Zions city,
I through grace a member am,
Let the world deride or pity,
I will glory in Thy name;
Fading is the worldlings pleasure,
All his boasted pomp and show;
Solid joys and lasting treasure,
None but Zions children know."
indonesia,Lemah Lembut Tuhan Yesus Memanggil,Will L. Thompson,"Lemah lembut Tuhan Yesus memanggil,
memanggil kau dan aku.
Lihatlah Ia sekarang menunggu,
tunggu kedatanganmu.

Pulang, pulang,
yang letih lesu pulang.
Dengan lembut Tuhan Yesus memanggil,
yang berdosa pulanglah.

Panggilan Yesus janganlah abaikan,
memanggil kau dan aku.
Mengapa tak sandar kemurahan Tuhan,
Untuk engkau dan aku?

Dia menjanjikan kasih-Nya yang ajaib,
janji tuk kau dan aku!
Dia mengampuni orang yang berdosa,
Ampuni kau dan aku."
english,Softly And Tenderly,Will L. Thompson,"Softly and tenderly Jesus is calling,
Calling for you and for me;
See, on the portals He is waiting and watching,
Watching for you and for me.

Come home, come home,
You who are weary, come home;
Earnestly, tenderly, Jesus is calling,
Calling, O sinner, come home!

Why should we tarry when Jesus is pleading,
Pleading for you and for me?
Why should we linger and heed not His mercies,
Mercies for you and for me?

Time is now fleeting, the moments are passing,
Passing from you and from me;
Shadows are gathering, deathbeds are coming,
Coming for you and for me.

Oh, for the wonderful love He has promised,
Promised for you and for me!
Though we have sinned, He has mercy and pardon,
Pardon for you and for me."
indonesia,Mari Bersukacita,Paul Gerhardt,"Mari bersukacita, terima kabar baik!
Habislah dukacita, terbitlah terang ajaib!
Yesus yang tersekap, di kubur yang gelap
disambut fajar terang sebagai Pemenang!

Ia pun dikuburkan, puaslah seteru.
Tiada mereka duga telah bangkit Penebus!
Bergema di dunia, kemenangan Tuhan,
dan panji Pemenang berkibar gemilang!

Oleh peristiwa ini, gembira hatiku.
Tak lagi ku takuti ancaman seteru,
Ku beriman teguh, Yesus jaminanku.
salib-Nya ku pegang, tentulah ku menang!"
indonesia,Engkau Bersuka dalam Derita,Cyriakus Schneegass,"Engkau bersuka, dalam derita, Yesus Kristus mulia.
Sudah Kau bawa anugerah surga, Juruselamat dunia.
Kau melepaskan kami yang malang; pada-Mu saja
kami percaya, tidakkan jatuh, Haleluya!
Dalam kasih-Mu kami berlindung, tiada kuasa
yang memisahkan dari pada-Mu, Haleluya!

Bila Kau hadir, kami tak khwatir, goda Iblis, kuasa maut.
Kau mengalahkan setiap ancaman, Kau enyahkan kemelut.
Nama-Mu Tuhan kami agungkan, di hadapan-Mu
kami umat-Mu bersukaria, Haleluya!
Karena percaya kami pun menang, puji-pujian.
Kami nyanyikan, Tuhan setia, Haleluya!"
indonesia,Layakkah Ku Pergi dengan Tangan Hampa?,Charles C. Luther,"Bila Tuhan memanggilku, layakkah ku jumpa Dia?
Belum seorang pun kubawa kembali pada Bapa.

Tangan hampa ku pulangkah, jumpa Tuhan di surga?
Belum seorang pun kubawa, layakkah ku jumpa Dia?

Kini pulang tak ku sesal, ku telah diselamatkan-Nya.
Tapi hatiku sedihlah, kerjaku belum berbuah.

Ku rela serahkan diriku mengabarkan Injil-Nya.
Bila sampailah ajalku, aku pun telah siaplah."
english,"Take The World, But Give Me Jesus",Fanny Crosby,"Take the world but give me Jesus,
all its joys are but a name;
But His love abideth ever;
Through eternal years the same,

O the height and depth of mercy!
O the length and breadth of love!
O the fullness of redemption,
Pledge of endless life above.

Take the world but give me Jesus,
sweetest comfort of my soul;
with my Saviour watching over me;
I can sing tho billows roll.

Take the world but give me Jesus,
let me view His constant smile;
Then thruout my pilgrim journey,
light will cheer me all the while.

Take the world but give me Jesus,
in His cross my trust shall be;
till, with clearer, brighter vision,
face to face my Lord I see."
indonesia,Dapatkah Ku Tak Cinta Dia?,Elton M. Roth,"Yesus Kristus meninggalkan surga, datang menderita.
Ia tanggung segala dosa dan hina, ajaiblah cinta-Nya.

Demikian Ia cintaku, cinta padaku;
dapatkah ku tak cinta, pada Tuhanku?

Ku tak layak terima anugerah-Nya yang ajaib dan besar,
menderita sengsara gantikanku, menebus dosaku.

Kasih dan indahnya Penebusku, tiada taranya.
Kini kulihat Juruselamatku, ajaib Penebusku."
indonesia,"Bumi, Langit, Mari Puji",John Henry Newman,"Bumi, langit, mari puji
Tuhan Maha Suci.
Firman-Nya Maha Mulia,
dan benar jalan-Nya.

Penuh hikmat kasih, Kau Tuhan,
atas yang berdosa.
Peperangan Kau menangkan,
kini ku selamatlah.

Jasa apa yang lebih besar
dari anugerah-Nya?
Tuhan kekal, penuh kuasa,
Ilahi kodrat-Nya.

Dia berdoa dalam taman,
di salib Dia mati,
menanggung luka dan pedih,
teladan bagiku.

Bumi, langit, mari puji
Tuhan Maha Suci.
Firman-Nya Maha Mulia,
dan benar jalan-Nya."
english,Praise To The Holiest In The Highest,John Henry Newman,"Praise to the Holiest in the height,
and in depth be praise.
In all His words most wonderful,
Most sure in all His ways.

O loving wisdom of our God!
When all was sin and shame,
A second Adam to the fight
and to the rescue came.

And that a higher gift than grace
should flesh and blood refine;
Gods Presence and His very Self,
And Essence all divine.

And in the garden secretly,
And on the cross on high,
Should teach His brethren, and inspire
To suffer and to die.

Praise to the Holiest in the height,
and in depth be praise.
In all His words most wonderful,
Most sure in all His ways."
indonesia,Batu Karang Yang Teguh,Edward Mote,"Tiada lain pengharapan, hanya pada darah Yesus.
Semuanya ku sandarkan, hanya pada nama Yesus.

Di atas Yesus batu karang yang teguh
ku berdiri, alas yang lain tak kan kukuh.

Waktu datang kegelapan, ku berlindung dalam Tuhan.
Dalam tiap pergumulan, anugerah-Nya tak ditahan.

Tuhan memberi perjanjian, menolong dan menguatkan.
Semua yang kuperlukan, Tuhan tentu memberikan."
indonesia,Tuhan Pencipta Semesta,Christopher Wordsworth,"Tuhan Pencipta semesta, segala pujian kami naikkan,
Kasih-Mu, kami nyatakan, Oh Tuhanku.

Tuhan memberikan Anak-Nya, mati menggantikan kita,
Dalam Yesus semua-Nya, diberikan.

Tuhan memberi Roh Suci-Nya, berikan hidup dan kuasa,
Dan berkat-Nya tercurahlah, pada kita.

Jiwa yang sudah ditebus, dosa sudah ditebus-Nya,
Pada Bapa berikan pujian, yang telah memberi.

Seluruh hidup dan bakatku, ku sembahkan kepada-Mu,
hingga kelak bertemu Dia Sumber Hidup."
english,O Lord Of Heaven And Earth And Sea,Christopher Wordsworth,"O Lord of heaven and earth and sea, to thee all praise and glory be;
how shall we show our love thee, who givest all?

Thou didst not spare thine only Son, but gave him for a world undone,
and freely, with that blessed One, thou givest all.

Thou givest the Spirits blessed dower, Spirit of life and love and power,
and dost his sevenfold graces shower upon us all.

For souls redeemed, for sins forgive, for means of grace and hopes of heaven,
Father, all praise to thee be given, who givest all.

We lose what on ourselves we spend, we have as treasure without end
whatever, Lord, to thee we lend, who givest all.

To thee, from whom we all derive our life, our gifts, our power to give:
O may we ever with thee live, who givest all."
indonesia,"O, Ku Cinta Yesus",Frederick Whitfield,"Ku suka dengar satu nama, ku suka menyanyikannya,
Indah benar suara-Nya, nama yang terindah.

O, ku cinta Yesus, O, ku cinta Yesus;
O, ku cinta Yesus, sebab Dia cinta dulu.

Nama yang nyatakan kasih, yang tebus dosaku,
Darah-Nya dicurah-Nya, menyelamatkan saya.

Nama yang nyatakan Bapa, sediakan segalanya,
Dan meski jalanku gelap, ke Trang-Nya ku berserah.

Nama yang nyatakan rahmat, menghibur hatiku,
Ia menanggung sengsaraku, dan semua bebanku"
english,"O, How I Love Jesus",Frederick Whitfield,"There is a Name I love to hear, I love to sing its worth;
It sounds like music in my ear, The sweetest Name on earth.

Oh, how I love Jesus, Oh, how I love Jesus,
Oh, how I love Jesus, Because He first loved me!

It tells me of a Saviors love, Who died to set me free;
It tells me of His precious blood, The sinners perfect plea.

It tells me what my Father hath In store for every day,
And though I thread a darksome path, Yields sunshine all the way.

I tells of One whose loving heart Can feel my deepest woe;
Who in each sorrow bears a part That none can bear below.

Jesus, the Name I love so well, The Name I love to hear:
No saint on earth its worth can tell, No heart conceive how dear.

And there with all the blood-bought throng,
From sin and sorrow free,
I will sing the new eternal song. Of Jesus love for me."
indonesia,Hidupkan Gereja-Mu,Albert Midlane,"Hidupkan gereja-Mu, perbuatan tangan-Mu.
Yang mati dihidupkan oleh firman, sadarkan umat-Mu.

Hidupkan gereja-Mu, pada-Mu kami minta.
Datanglah segera, berkatilah kami, O Tuhan Pemurah.

Hidupkan gereja-Mu, tinggikan nama-Mu.
Roh Kudus datang nyalakan kasih kepada-Mu.

Berkati firman-Mu, gereja-Mu hidupkan.
Firman-Mu benar dan kudus, kami mau saksikan.

Curahkan Roh Kudus, gereja-Mu hidupkan.
Pada Tuhan beri kemuliaan, berkat-Mu curahkan."
indonesia,Serta Tuhan Ketika Terbit Fajar,Harriet B. Stowe,"Serta Tuhan ketika terbit fajar,
bayang malam sekalian lenyaplah.
Serta Tuhan, terang surya bersinar,
serta Tuhan, itulah terindah.

Serta Tuhan, hanya serta Tuhanku,
waktu embun menudungi bumi.
Seluruh alam bersinar hidup baru,
Penuhlah hatiku dengan puji.

Serta Tuhan saat jiwaku lelah,
kupandang Hu berdoa pada-Mu.
Dengan tenang berlindung di kasih-Mu,
dan berjumpa Tuhan yang di surga.

Serta Tuhan bila ajalku tiba,
rohku tenang dalam fajar mulia.
Saat itu penuh rasa gembira,
Serta Tuhan sampai selamanya."
