language,title,author,lyrics,,
Indonesia,Diri-Nya,Albert B. Simpson,"Dulu ku mau berkat, kini mau Tuhan.
Dulu ku mau sembuh, kini Penyembuh.
Dulu tamak kurnia, kini Pemberi-Nya.
Dulu cari kuasa, kini yang Kuasa.
Tinggikanlah Kristus, puji Hu selalu.
Semua dalam Kristus, dan Kristus segalanya.

Dulu selalu aku, kini alat-Nya.
Dulu kerjaanku, kini untuk Hu.
Dulu mau pujian, kini puji Hu.
Dulu tak terjamin, kini dijamin.

Dulu masih cari, kini mendapat.
Dulu pelita gelap, kini jadi terang.
Dulu tunggu mati, kini tunggu Hu.
Segala milikku dalam Tuhanku.

Dulu tak peduli, sekarang melayani.
Dulu ku tuan-Nya, sekarang hamba-Nya.
Dulu ku mau kuasa, sekarang taat Dia.
Dulu untuk diri, sekarang untuk-Nya.

Pernah harap Yesus, Dialah milikku.
Dulu tak bercaheya, sekarang menyala.
Saat ku mau mati, Dia selamatkan,
dan pengharapanku tak sia-sia.",,
Indonesia,Ku Tahu Siapa Menguasai Hari Esok,Ira F. Stanphil,"Tak ku tahu kan hari esok,
namun langkahku tegap.
Bukan surya ku harapkan
karna surya kan lenyap.
O tiada ku gelisah
akan masa mendatang;
ku berjalan serta Yesus,
maka hatiku tenteram.

Banyak hal tak ku mengerti
akan masa mendatang,
tapi terang bagiku kini,
tangan Tuhan yang pegang.

Makin teranglah perjalanan,
makin tinggi aku naik;
Dan bebanku makin ringan,
makin tampaklah yang baik.
Di sanalah terang abadi,
tiada tangis dan keluh;
Di negeri seberang pelangi,
nanti kita bertemu.

Tak ku tahu kan hari esok,
mungkin langit kan gelap.
Tapi Dia yang memelihara,
sertaku selamanya.
Mungkin ku harus berjalan
melewati air dan api;
tapi Dia berjalan dulu,
Darah-Nya melindungi.",,
English,I Know Who Holds Tomorrow,Ira F. Stanphil,"I don not know about tomorrow;
I just live from day to day,
I don not borrow from it is sunshine,
For it is skies may turn to grey,
I don not worry over the future,
For I know what Jesus said,
And today I will walk beside Him,
For He knows what is ahead.

Many things about tomorrow,
I don not seem to understand,
But I know who holds tomorrow,
And I know who holds my hand.

Every step is getting brighter,
as the golden stairs I climb;
Every burden is getting lighter,
every cloud is silver-lined,
There the sun is always shining,
there no tear will dim the eye;
At the ending of the rainbow,
where the mountains touch the sky.

I don not know about tomorrow;
It may bring me poverty,
But the one who feeds the sparrow,
is the one who stands by me,
And the path that be my portion,
may be through the flame or flood;
But His presence goes before me,
And I am covered with His blood.",,
Indonesia,Ikut Yesus,William O. Cushing,"Bersama Yesus berjalan menuju lembah,
sumber air yang sejuk, dan mekar bunga.
hatiku tenang bila Yesus memimpinku,
sampai ke surga berjalan ikut Dia.

Ikut Yesus! Ku mau ikut Yesus!
Ke tempat mana pun kuikut Yesus!
Ikut Yesus! Ku mau ikut Yesus!
Ke mana Ia pimpin ku mau ikut Dia.

Bersama Yesus berjalan menuju lembah,
badai topan menerjang, gelap menghadang.
hatiku tenang bila Yesus memimpinku,
ku tak gentar sebab Tuhan di sisiku.

Kuikut Yesus tempuh jalan yang susah,
rohku tenang dan nyaman sebab dekat Tuhan.
Yesus memimpinku maka aman langkahku,
dan ku dibawa-Nya ke rumah Bapa.",,
Indonesia,Memandang Salib Yang Agung,Isaac Watts,"Memandang salib yang agung,
Raja mulia mati di sana.
Kemuliaan pada diriku
hanya kehinaan belaka.

Tak boleh aku bermegah
selain di dalam salib-Mu.
Nikmat dunia semua kubuang,
kuserahkan ke dalam darah-Nya.

Tubuh Kristus dikorbankan,
derita-Mu ditunjukkan.
Duka, pedih berangkulan,
mahkota duri menyaksikan.

Mengalir darah Tuhanku,
menyucikan semua celaku.
Ku telah mati terhadap dunia,
Dan dunia mati atasku.

Dulu dunia tujuanku,
ku jauh dari Tuhanku.
Kasih kudus menuntutku,
jiwa dan hidupku bagi-Nya.",,
English,When I Survey The Wondrous Cross,Isaac Watts,"When I survey the wondrous cross
On which the Prince of glory died,
My richest gain I count but loss,
And pour contempt on all my pride.

Forbid it, Lord, that I should boast,
Save in the death of Christ my God!
All the vain things that charm me most,
I sacrifice them to His blood.

See from His head, His hands, His feet,
Sorrow and love flow mingled down!
Did ever such love and sorrow meet,
Or thorns compose so rich a crown?

His dying Crimson, like a robe,
Spreads over His body on the tree;
Then I am dead to all the globe,
And all the globe is dead to me.

Were the whole realm of nature mine,
That were a present far too small;
Love so amazing, so divine,
Demands my soul, my life, my all.

To Christ, who won for sinners grace
By bitter grief and anguish sore,
Be praise from all the ransomed race
Forever and forevermore.",,
Indonesia,Kami Puji Nama-Mu,Ignaz Franz,"Kami puji nama-Mu, dan bertelut menyembah.
Seluruh bumi memuji, isi surga menyanyi,
Tak terbatas kuasa-Mu, kekal sampai selamanya.

Bersorak memuji-Mu, surga pun penuh nyanyi.
Kerubim dan Serafim tak henti memuji-Mu,
Kidung surga menggema, ""Kudus, kudus, kuduslah.""

Bapa, Putra, Roh Kudus, Allah yang Maha kuasa.
Dan ketiga yang Esa, selamanya tak terpisah,
Kami sujud menyembah, Allah yang Maha tinggi.",,
Indonesia,Dia Memeliharakan Burung,Mrs. C. D. Martin,"Mengapa keluh kesah? Mengapa kecewa?
Mengapa hati susah? Dan gundah gulana?
Yesuslah sahabatku yang memberkatiku.
Dia peliharakan burung, juga peliharakanku,
Dia peliharakan burung, juga peliharakanku.

Sekarang ku memuji, laguku menggema,
karena aku pun dijaga oleh Bapa semesta.

Kudengar suara Tuhan, ""Buangkanlah kesusahan.""
Ku beroleh perhentian, tiada ketakutan.
Tuhan pimpin jalanku, ku mau ikut serta.
Dia peliharakan burung, juga peliharakanku,
Dia peliharakan burung, juga peliharakanku.

Bila datang cobaan, jangan putus asa.
Mengapa tak berdoa? Tiada memuji-Nya?
Haraplah pada Tuhan, kan pertolongan-Nya.
Dia peliharakan burung, juga peliharakanku,
Dia peliharakan burung, juga peliharakanku.",,
indonesia,Kemuliaan Dan Hormat,St. Theodulph,"Kemuliaan dan hormat, pada-Mu Rajaku,
 Nyanyian anak-anak manis memuji-mu,
 ""Hosana Anak Daud, diberkatilah Kau,""
 Raja Israel datang, dalam nama Tuhan.
 
 Malaikat yang di surga, muliakan nama-Mu;
 Seluruh yang dicipta, membalas puji Hu,
 Kaum Israel menyambut datangnya Sang Raja,
 Kami naikkan doa dan puji nama Hu.
 
 Umat-Mu menyanyikan pujian yang besar,
 Sebelum Kau menderita, Engkau diagungkan,
 Kau terima pujian, yang kami naikkan,
 Ya, Raja yang Pemurah, Pemberi Anugerah.",,
indonesia,Dengar Juruselamat Berseru,George D. Watson,"Dengar Juruselamat berseru:
 ""Ikutlah, ikutlah pada-Ku.""
 Siang malam terus berseru:
 ""Ikutlah, ikutlah pada-Ku.""
 
 Dosamu akan Kuhapuskan,
 ""Ikutlah, ikutlah pada-Ku.""
 Hidupmu kan Kusempurnakan,
 ""Ikutlah, ikutlah pada-Ku.""
 
 Letakkan segala khawatirmu,
 ""Ikutlah, ikutlah pada-Ku.""
 Ku kan memberi rahmat penuh,
 ""Ikutlah, ikutlah pada-Ku.""",,
indonesia,Tambahlah Kasihku Akan Tuhan,Elizabeth P. Prentiss,"Tambahlah kasihku akan Tuhan.
 Inilah doaku, oh dengarkan.
 Hiburkan hatiku, tambahlah kasihku,
 kepada-Mu, oh, Tuhanku.
 
 Dulu aku rindu akan dunia.
 Kini kepada-Mu, Yesus saja.
 Inilah doaku, tambahlah kasihku,
 kepada-Mu, oh, Tuhanku.
 
 Meski dalam susah, tetap setia.
 Aku lebih rindu kepada-Mu.
 Ini harapanku, tambahlah kasihku,
 kepada-Mu, oh, Tuhanku.",,
indonesia,Seluruh Umat Tuhan oleh-Nya Dikenal,Karl Johann Philipp Spitta,"Seluruh umat Tuhan oleh-Nya dikenal,
besar kecil semua, sekarang dan kekal.
Mereka dipelihara di dalam dunia;
baik hidup maupun mati mereka milik-Nya,
baik hidup maupun mati mereka milik-Nya.

Mereka dikenal-Nya yang hidup beriman,
yang patuh dan percaya berdasarkan firman.
Firmanlah yang menjadi santapan yang baka,
firmanlah yang menjamin bertahan selamanya,
firmanlah yang menjamin bertahan selamanya.

Mereka dikenal-Nya yang harapnya teguh,
mengaku Yesus saja Tuhannya yang kudus.
Mereka disinari sabda-Nya yang benar,
dan tumbuh tiap hari menghijau dan segar,
dan tumbuh tiap hari menghijau dan segar.

Mereka dikenal-Nya yang kasihnya penuh,
yang ikut kehendak-Nya dan hidup dalam Roh.
Berjalan dalam kasih dengan sesamanya,
dan suka memberkati menurut teladan-Nya,
dan suka memberkati menurut teladan-Nya.",,
indonesia,Pintuku Telah Tutup,William M. Runyan,"Pintu telah ku tutup, oh, Tuhanku.
 Sabdalah padaku, aku menunggu.
 Hatiku tenanglah di hadirat-Mu.
 Nyatakan kehendak-Mu aku menunggu
 
 Pintu telah ku tutup, oh, Tuhanku.
 Di sini ku sujud, berfirmanlah.
 Beri Roh-Mu yang Kudus pimpin daku.
 Kehendak-Mu yang suci nyatakanlah.
 
 Pintu telah ku tutup, oh, Tuhanku.
 Kuatkanlah daku, pimpin kerjaku.
 Dengan anugrah-Mu benarkanku.
 Jiwaku segar, Bersama-Mu.",,
english,"Lord, I Have Shut The Door",William M. Runyan,"Lord, I have shut the door,
 Here do I bow,
 Speak, for my soul attent,
 Turns to Thee now,
 Rebuke Thou what is vain,
 Counsel my soul,
 Thy holy will reveal,
 My will control.
 
 Lord, I have shut the door,
 Speak now the word,
 Which in the din and throng,
 Could not be heard,
 Hushed now my inner heart,
 Whisper Thy will,
 While I have come apart,
 While all is still.
 
 In this blest quietness
 Clamorings cease,
 Here in Thy presence dwells,
 Infinite peace,
 Yonder, the strife and cry,
 Yonder, the sin,
 Lord, I have shut the door,
 Thou art within.
 
 Lord, I have shut the door,
 Strengthen my heart,
 Yonder awaits the task,
 I share a part,
 Only through grace bestowed,
 May I be true,
 Here, while alone with Thee,
 My strength renew.",,
indonesia,Setia! Setia!,,"Dalam zaman yang bengkok ini
 segala berubah, langit goncanglah.
 Iblis sedang giat bekerja
 sehingga murid Tuhan sesatlah.
 Apakah engkau juga bimbang,
 hati penuh kuatir tak berdaya?
 Bangkitlah bagi Kerajaan surga,
 kesetiaanmu tunjukkanlah.
 
 Meski kuasa Iblis hebatlah
 dan serangannya tidak terduga,
 jangan takut dan jangan bimbang,
 taat perintah Rajamu tentu menang.
 Ambil teladan tiga pahlawan
 yang tak takut akan ancaman;
 Mereka sungguh gagah perkasa,
 setia pada Kristus, Rajanya.
 
 Tunjukkanlah kesetiaanmu
 dalam segala pekerjaan Hu.
 Kesusahan yang sementara
 akan diganti dengan mulia.
 Kristus kembali dengan segera
 menyambut hamba-Nya yang setia.
 Engkau yang hidup dengan setia
 boleh masuk surga yang mulia.",,
indonesia,Hormat Bagi Allah Bapa,Horatius Bonar,"Hormat bagi Allah Bapa,
hormat bagi Anak-Nya,
hormat bagi Rohul Kudus;
Ketiga-Nya yang Esa.
Haleluya! Haleluya,
Ketiga-Nya yang Esa.

Hormat bagi Raja Surga,
Tuhan kaum manusia.
Hormat bagi Raja Gereja,
di seluruh dunia.
Haleluya! Haleluya,
di seluruh dunia.

Haleluya, persembahan
dari umat kudus-Mu,
diletakkan siang malam
di hadapan takhta-Nya.
Haleluya! Haleluya,
di hadapan takhta-Nya.",,
indonesia,Kelak Kulihat Wajah-Nya,Fanny J. Crosby,"Bila waktunya tibalah, kutinggalkan dunia fana.
Amat gemarlah hatiku, aku berjumpa Tuhanku.
Kelak kulihat wajah-Nya, ku bersuka di dalam Dia.
Kukatakan pada Tuhan, ""Ku selamat karena anugerah.""

Bila waktunya tibalah, rumahku ini robohlah.
Hanyalah satu yang tentu, aku kelak masuk rumahku.

Bila waktunya tibalah, pelitaku terang berseri.
Pintu surga terbukalah, ke dalamnya kumasuki.",,
indonesia,Ku Suka Mengabarkan,Katherine Hankey,"Ku suka mengabarkan, tentang hal di surga,
Tentang kasih Tuhanku, yang mati bagiku,
Ku suka mengabarkan tentang kuasa Injil,
Selamatkan kaum berdosa, dapat hidup kekal.
Ku suka mengabarkan, Injil Tuhan yang mulia,
Kabarkan kasih Yesus, dan keselamatan-Nya.

Ku suka mengabarkan indahlah Injil-Nya,
Yang melebihi emas, dan segala hartaku,
Ku suka mengabarkan tentang berkat Injil,
Yang memberiku hidup, gemarkan hatiku.
Ku suka mengabarkan, Injil Tuhan yang mulia,
Kabarkan kasih Yesus, dan keselamatan-Nya.

Ku suka mengabarkan, semakin ku kabarkan,
Pada umat semua, senang mendengarnya,
Ku suka mengabarkan tentang Injil Tuhan,
Pada yang belum mendengar tentang kasih Tuhan.
Ku suka mengabarkan, Injil Tuhan yang mulia,
Kabarkan kasih Yesus, dan keselamatan-Nya.
",,
indonesia,Pikul Salib,Anonymous,"Banyak yang mau masuk surga, tak mau salib-Nya;
 Banyak yang rindu pahala serta dunia;
 Tak hiraukan, tak hiraukan hanya mau berkat;
 Tak hiraukan, tak hiraukan hanya mau berkat.
 
 Banyak yang mau dekat Yesus, tak mau berjaga,
 Cawan derita ditanggung-Nya, getarkan jiwa,
 Bersama tiga murid-Nya mereka bernyanyi;
 Bersama tiga murid-Nya ke Getsemani.
 
 Banyak yang mau kemuliaan, tak mau yang hina;
 Bila Tuhan berkati, dia puji nama-Nya;
 Bila Tuhan minta dia, ia menolak-Nya;
 Bila Tuhan minta dia, ia menolak-Nya.
 
 Banyak yang mengasihi Dia, tiada bertanya;
 Bahkan jiwa yang berharga, rela korbankan;
 Berilah daku tekad hati pikul salib Hu;
 Berilah daku tekad hati setia pada-Nya.",,
indonesia,Nyatakan Yesus Dalammu,B. B. McKinney,"Di dunia yang penuh cemar, antara sesamamu,
Hiduplah saleh dan benar; Nyatakan Yesus dalammu.
Nyatakan Yesus dalammu,
nyatakan Yesus dalammu;
Sampaikan firman dengan hati teguh,
Nyatakan Yesus dalammu.

Hidupmu kitab terbuka dibaca sesamamu;
Apakah tiap pembacanya melihat Yesus dalammu?

Di surga kau kelak senang berjumpa sahabatmu,
berkat hidupmu dalam terang; nyatakan Yesus dalammu.

Hiduplah kini bagi-Nya, berjiwa tetap teguh;
Bimbinglah orang tercela melihat Yesus dalammu.",,
indonesia,Ku Datang Tuhan,Lewis Hartsough,"Kudengar suara-Mu memanggil diriku.
Darah Kauberikan padaku di bukit Golgota.
Ku datang Tuhan, datang pada-Mu.
Sucikanlah hatiku di dalam darah-Mu.

Lemahlah imanku dan ku tak berdaya,
Hanya kuasa-Mu yang dapat bebaskan dosaku.

Penuhilah hatiku dengan Roh Kudus-Mu,
Dan anugerah-Mu yang limpah, egar ku serupa-Mu.",, 
indonesia,Aku Berserah,J.W. van De Venter,"Berserah kepada Yesus, dengan tangan yang bebas.
Selalu bersandar cinta , hidup di hadapan-Nya.
Aku berserah, aku berserah
pada Tuhan Juruselamat, aku berserah.

Berserah kepada Yesus, aku tunduk pada-Mu.
Nafsu dunia ku buangkan, terima aku ya, Tuhan.

Berserah kepada Yesus, diriku buat Tuhan.
Penuhi cinta dan kuasa, biar berkat Tuhan nyata.",,
english,I Surrender All,J.W. van De Venter,"All to Jesus I surrender,
All to Him I freely give;
I will ever love and trust Him,
In His presence daily live.
I surrender all, I surrender all;
All to Thee, my blessed Savior,
I surrender all.

All to Jesus I surrender,
Humbly at His feet I bow;
Worldly pleasures all forsaken,
Take me, Jesus, take me now.

All to Jesus I surrender,
Make me, Savior, wholly Thine;
Let me feel the Holy Spirit,
Truly know that Thou art mine.

All to Jesus I surrender,
Lord, I give myself to Thee;
Fill me with Thy love and power,
Let Thy blessing fall on me.

All to Jesus I surrender,
Now I feel the sacred flame;
Oh, the joy of full salvation!
Glory, glory, to His Name!",,
indonesia,Batu Zaman,Rev. A. M. Toplady,"Pada-Mu batu zaman, aku minta lindungan.
Kausucikan hatiku oleh darah rusuk-Mu.
Dari dosa ku lepas, dari hukuman bebas.

Bukan karena kerjaku memuaskan hukum-Mu.
Apa pun usahaku tak menghapus dosaku.
Kau saja Penolongku yang hapuskan dosaku.

Kudatang ke salib-Mu dengan tangan yang hampa.
Ratapku dan tangisan tidak beri pengampunan.
Darah Yesus saja beri hati baru dan bersih.

Bila tiba saatnya kutinggalkan dunia,
Dan Kaupanggil diriku ke hadapan takhta-Mu,
Pada-Mu batu zaman, aku minta lindungan.",,
indonesia,Dunia Kedinginan,Christina Georgina Rosetti,"Dunia kedinginan, kaku membeku;
 damai yang sejati, tiada bertemu.
 Wabah kekerasan siksa tirani
 sampai masa kini tidak berhenti.
 
 Tapi Firman Allah tak terbelenggu;
 Kasih mencairkan hati yang beku.
 Dalam dunia dingin, kandang cukuplah;
 untuk mengenali Tuhan semesta.
 
 Segenap malaikat memuliakan-Nya;
 dan gembala miskin sujud menyembah.
 Yusuf dan Maria sujud bersyukur,
 Pemberian Majus mas, menyan dan mur.
 
 Apa yang ku berikan bagi-Mu Yesus?
 Andai ku gembala, kuberi dombaku.
 andai orang Majus mas, menyan dan mur.
 Apa yang ku berikan? Hati bersyukur.",,
indonesia,Serahkan yang Terbaik pada Hu,Howard B. Grose,"Serahkan yang terbaik pada Hu, serahkan tenaga mudamu.
Serahkan tubuh, jiwa, rohmu, berperang tuk kebenaran.
Yesuslah teladan terindah, berani teguh tak gentar.
Pada Tuhan mengabdilah, serahkan yang baik pada-Nya.

Serahkan yang terbaik pada Hu, serahkan tenaga mudamu.
Lengkapkan senjata Injil, setia berperang bagi Hu.

Serahkan yang terbaik pada Hu, sungguh benar kasih Hu.
Bagimu Dia serahkan diri, mulia surga diberi.
Serahkan jiwa tanpa sungut, bagimu darah curah.
Setialah dan bekerja, serahkan yang baik pada-Nya.

Serahkan yang terbaik pada Hu, lekas serahkan dirimu.
Waktu lalu tak terulang, jangan lagi menunggu.
Ribuan jiwa berserulah, Tuhanmu pun berseru.
Lekas jawab seruan itu, serahkan terbaik pada-Nya.",,
english,Give Of Your Best To The Master,Howard B. Grose,"Give of your best to the Master;
 Give of the strength of your youth;
 Throw your soul is fresh, glowing ardor
 Into the battle for truth
 Jesus has set the example,
 Dauntless was He, young and brave;
 Give Him your loyal devotion;
 Give Him the best that you have.
 Give of your best to the Master;
 Give of the strength of your youth;
 Clad in salvation is full armor,
 Join in the battle for truth.
 
 Give of your best to the Master;
 Give Him first place in your heart;
 Give Him first place in your service;
 Consecrate every part,
 Give, and to you will be given;
 God His beloved Son gave;
 Gratefully seeking to serve Him,
 give Him the best that you have.
 Give of your best to the Master;
 Give of the strength of your youth;
 Clad in salvation is full armor,
 Join in the battle for truth.
 
 Give of your best to the Master;
 Naught else is worthy His love;
 He gave Himself for your ransom,
 Gave up His glory above.
 Laid down His life without murmur,
 you from sin is ruin to save;
 Give Him your heart is adoration;
 Give Him the best that you have.
 Give of your best to the Master;
 Give of the strength of your youth;
 Clad in salvation is full armor,
 Join in the battle for truth.",,
indonesia,Penuhilah Pialamu Hari Ini,Leila N. Morris,"Rindukah kau hari ini bagi semua berkat Hu
dalam kehidupanmu?
Dan beroleh segala janji, serta turut firman-Nya,
kesenangan yang baka.
Dipenuhi hari ini di hatimu,
penuhlah pialamu seperti janji Tuhanmu,
dipenuhi hari ini di hatimu,
dengan kuasa Roh Kudus.

Bawalah pialamu kosong dari tanah liat
cuci dengan darah-Nya.
Datang dengan kerendahan keperluan yang besar,
tunggu di hadirat-Nya.

Seperti corong yang mengalir alirannya selalu terus
demikianlah nikmat-Mu.
Janji-Nya telah ditepati memenuhi hatimu
dengan kuasa Roh Kudus.",,
indonesia,Hu Ku Milik-Mu,Fanny J. Crosby,"Hu ku milik-Mu, Kau pun milikku,
kasih-Mu puaskan daku.
Tambahkan iman agar ku beterbang,
makin dekat pada-Mu.
Lebih dekat, dekat pada-Mu,
yang telah mati bagiku;
Lebih dekat, dekat, dekat salib-Mu,
di aliran darah-Mu.

Kuduskan daku dalam kerja-Mu,
oleh rahmat kasih-Mu.
Iman dan kasih makin bertambah,
makin dekat pada-Mu.

Kasih terdalam, girang terbesar,
telah nyata padaku.
Ku sandar Tuhan hapuskan dosa,
mulia Tuhan telah nyata.",,
english,"I'm Thine, O Lord",Fanny J. Crosby,"I am thine, O Lord, I have heard Thy voice,
and it told Thy love to me;
But I long to rise in the arms of faith,
And be closer drawn to Thee.

Draw me nearer, nearer, blessed Lord,
To the cross where Thou hast died.
Draw me nearer, nearer, nearer, blessed Lord,
to Thy precious, bleeding side.

Consecrate me now to Thy service, Lord,
By the power of grace divine;
Let my soul look up with a steadfast hope,
and my will be lost in Thine.

O the pure delight of a single hour
That before Thy throne I spend,
When I kneel in prayer, and with Thee, my God,
I commune as friend with friend!

There are depths of love that I yet may know
Ere Thee face to face I see;
There are heights of joy that I yet may reach
Ere I rest in peace with Thee.",,
indonesia,Tuhanku Yesus,Munster Gesangbuch,"Tuhanku Yesus, Raja segnap alam,
Ilahi dan manusia,
Hendak ku turut dan kukasihi,
Kau harta rohku yang baka.

Indahlah bukit, indah sawah ladang,
kena embun yang gemerlap.
Tuhanku Yesus yang lebih indah
Beri kesukaan-Nya tetap.

Indah terang bulan,
indah matahari dan bintang cemerlang.
Tetapi Yesus jauh lebih indah
Cahaya Yesus yang menang.

Apa yang indah,
dalam alam ini menjadi bayang tiruan.
Indah-Mu Yesus Tuhan dan Raja
di atas makhluk sekalian.",,
