language,title,author,lyrics
indonesia,Umat-Nya Pujilah,Christian H. Bateman,"Umat-Nya pujilah, haleluya! Amin!
Pada Kristus Raja, haleluya! Amin!
Bersama bernyanyi di depan takhta-Nya,
pastilah berkenan, haleluya! Amin!

Pandanglah Tuhanmu, haleluya! Amin!
Pujilah pada-Nya, haleluya! Amin!
Gembala, Sobatku, turun dari surga,
kekallah kasih-Nya, haleluya! Amin!

Pujilah Sang Kristus, haleluya! Amin!
Gemarlah jiwamu, haleluya! Amin!
Di surga mulia sembahlah pada-Nya,
selamanya puji Dia, haleluya! Amin!"
indonesia,Bila Kerjaku Selesai,Fanny J. Crosby,"Jikalau pekerjaanku di sini telah lengkap,
ku akan pulang ke negeri yang terang.
Pertama ku tentu merasa girang dan senang
karena Tuhan sambut dengan senyuman.
Kukenal Dia, tentu kenal,
dengan bekas paku di tangan-Nya.
Tentu senang di negeri terang
bersama Juruselamat yang menang.

Sahabat dan kekasih yang telah pulang ke sana,
ku kan jumpa mereka di rumah Bapa.
Namun yang utama ku kan berjumpa dengan Dia,
Tuhanku yang ku rindu selamanya.

Pastilah Tuhan hantarku ke negeri yang baka
dengan jubah putih yang tanpa noda.
Di sana tangisan dan keluh kesah lenyaplah,
diganti dengan suka dan bahagia."
indonesia,Penuhi Daku,Oswald J. Smith,"Jika kudukakan Roh-Mu,
atau ragu kuasa-Mu,
Tuhan ampuni dosaku,
sucikanlah hatiku.

Oh! Tuhan dengar doaku
di hadapan mezbah-Mu.
Ampuni, sucikan daku,
penuhi dengan Roh-Mu.

Ku datang dan mohon Tuhan,
pada-Mu semua kuserah.
Ku sandar sepenuh Tuhan,
ku milik-Mu selamanya."
indonesia,Bangkitkan Jiwaku,B. B. Mckinney,"Ku datang pada-Mu, Tuhanku,
ku bersandar pada Firman-Mu.
Dengarlah doaku yang hina
dan bangkitkan jiwaku yang lesu.

Oh Tuhan, bangkitkan jiwaku.
Oh Tuhan, bangkitkan jiwaku.
Datanglah Roh Kudus, kuasai daku,
dan bangkitkan jiwaku yang lesu.

Berilah Roh-Mu dalam hatiku,
bakarlah cemar dan dosaku.
Biarlah pekerjaan-Mu jadi,
oh, bangkitkan jiwaku yang lesu.

Bangkitkanlah aku ya Tuhan,
agar ku sukacita dalam Hu.
Beriku kekuatan dan kemenangan,
bangkitkan jiwaku yang lesu.

Ajarlah ku pergi mencari
jiwa yang tersesat dan hilang,
dan pimpin mereka pada Tuhan;
bangkitkan jiwaku yang lesu."
indonesia,Penebus yang Mulia,Avis M. Christiansen,"Yesus tersalib di Golgota,
derita sengsara bagi kita.
Segala dosa ditanggung-Nya
tuk selamatkanku yang berdosa.

Juruselamatku, Juruselamatku,
Maha Suci, Kau mati disalib.
Darah tercurah karena dosaku,
jadi tebusan penuh rahmat.

""Bapa, ampuni dosa mereka,""
Ia berdoa bagi kita.
Darah tercurah selamatkanku,
besar kasih-Nya kepadaku.

Kucinta Tuhan, Sobat setia,
penuh bersyukur muliakan Dia.
Bibir lidahku puji selalu
akan Nama-Mu dan kasih Hu."
indonesia,Imanku Menengadah,Ray Palmer,"Imanku menengadah,
pada Domba Allah,
Juruselamat.
Dengarlah doaku,
hapuslah dosaku,
dari hari ini ku milik-Mu.

Anugerah-Mu diberi,
kekuatan di hati,
ku berbakti.
Bagiku Kau mati,
Engkau kukasihi,
tetap rajin suci hidup berapi.

Sampai ajalku pun,
jiwaku dihimpun,
oleh Tuhan.
Kuharap tak bimbang,
hati senang tenang,
ku menjelang terang keselamatan."
indonesia,Rohku Tenang,Katharina von Schlegel,"Rohku tenang! Tuhan besertaku,
salib susah, sabar ku memikul.
Ku bersandar karena Ia pimpinku,
hanyalah Dia yang sungguh setia.
Rohku tenang, Ia sobatku yang baik,
jalan berduri pun kulewati.

Rohku tenang! Ia tanggung bebanku,
pimpinan-Nya tak pernah berubah.
jangan biarkan imanmu bergoncang,
yang ku tak tahu kelak pasti terang.
Rohku tenang, badai pun taat Dia,
ombak dahsyat sekejap tenanglah.

Rohku tenang! Saat ku berduka,
Air mata dan gelap menimpa,
Kesedihan, khawatir melanda,
Ketahuilah kasih-Nya kuatkanmu.
Rohku tenang, sambutlah Tuhanmu,
Yesus memberi kelegaan pasti.

Rohku tenang! Waktu cepat lewat,
suatu saat ku kan bersama-Nya;
takut, gentar, semuanya kan lenyap,
deritaku akan kulupakan.
Rohku tenang, Ia hapus air mata,
tinggal serta Tuhan selamanya."
english,Be Still My Soul,Katharina von Schlegel,"Be still, my soul; the Lord is on thy side.
Bear patiently the cross of grief or pain.
Leave to thy God to order and provide;
In every change, He faithful will remain.
Be still, my soul; thy best, thy heavenly Friend
Through thorny ways leads to a joyful end.

Be still, my soul; thy God doth undertake
to guide the future as He has the past.
Thy hope, thy confidence let nothing shake;
All now mysterious shall be bright at last.
Be still, my soul; the waves and winds still know
His voice Who ruled them while He dwelt below.

Be still, my soul; though dearest friends depart,
And all is darkened in the vale of tears,
Then shalt thou better know His love, His heart,
who comes to soothe thy sorrows and thy fears.
Be still, my soul; thy Jesus can repay
From His own fullness all He takes away.

Be still, my soul; the hour is hastening on
when we shall be forever with the Lord;
When disappointment, grief, and fear are gone,
Sorrow forgot, love's purest joys restored.
Be still, my soul; when change and tears are past,
All safe and blessed we shall meet at last."
indonesia,Berita Natal,Old English Carol,"Berita Natal dikabarkan
oleh malak surga pada gembala,
yang menjaga kawanan domba
di malam gelap di Efrata.

Natal, Natal, Natal, Natal,
Raja surga telah lahirlah.

Orang Majus melihat bintang
yang sedang bersinar terang benderang.
Bintang Terang terus bersinar
ke bumi pancarkan cahaya.

Orang Majus dari jauh datang,
ikut tuntunan bintang yang terang.
Mereka ingin bertemu Raja
yang telah lahir ke dunia.

Bintang itu terus berjalan
melewati kota Betlehem.
Bintang itu sekarang berhenti
Di tempat Yesus berbaring.

Dan masuklah orang majus,
sujud menyembah Sang Bayi mulia.
Emas, mur, dan kemenyan dipersembahkan
pada Yesus, Raja yang lahir.

Umat semua bernyanyilah,
puji Raja segala raja.
Langit, bumi, dan isinya
telah ditebus oleh darah-Nya."
indonesia,Kiranya Langit Terbelah,Friedrich von Spee,"Kiranya langit terbelah;
ya Juruselamat, datanglah,
bukalah surga segera,
buanglah palang pintunya.

O, turun seperti embun,
sirami ladang bumi-Mu;
curahkanlah anugerah,
Raja yang adil, datanglah!

Hai bumi, kau terbukalah!
Gunung, lembah, menghijaulah,
agar darimu bersemi
bunga Selamat abadi.

Engkau dinanti dunia,
kedatangan-Mu kapankah?
Dari takhta-Mu turunlah,
hiburkan kami yang resah.

Ya, Surya pagi yang cerah,
biar fajar-Mu merekah;
mari, terbitlah cemerlang,
halaulah kabut yang kelam.

Dirundung duka kemelut,
kami menghadap pintu maut.
Umat-Mu, Tuhan, tuntunlah
ke negeri sejahtera.

Di sana kami bersyukur,
memuliakan nama-Mu,
ya, Penebus manusia,
sampai selama-lamanya!"
indonesia,Hadir Kau?,Negro Spiritual,"Hadir kau waktu Tuhan disalib?
Hadir kau waktu Tuhan disalib?
O! Itu membuat aku gentar, gentar, gentar.
Hadir kau waktu Tuhan disalib?

Hadir kau waktu Tuhan dipaku?
Hadir kau waktu Tuhan dipaku?
O! Itu membuat aku gentar, gentar, gentar.
Hadir kau waktu Tuhan dipaku?

Hadir kau waktu Tuhan dikubur?
Hadir kau waktu Tuhan dikubur?
O! Itu membuat aku gentar, gentar, gentar.
Hadir kau waktu Tuhan dikubur?"
indonesia,Kau Allah Benteng Yang Baka,Isaac Watts,"Kau Allah, benteng yang baka,
suaka yang teguh;
Dahulu dan selamanya
harapan umat-Mu.

Di bawah bayang takhta-Mu
umat-Mu tenteramlah;
Kau pertahanan yang teguh,
jiwaku tenanglah.

Sebelum bumi berbentuk
dan gunung berdiri;
Engkaulah Tuhan yang kekal
tetap selamanya.

Seluruh masa berlalu
dari hadapan-Mu;
Singkat, lenyap dan berlalu,
sebelum fajar tiba.

Daging dan darah mengejar
perkara yang fana;
Di arus waktu sebentar,
lenyap semuanya.

Kau Allah, benteng yang baka,
suaka yang teguh;
Penolong saat terdesak,
harapan umat-Mu."
english,O God Our Help In Ages Past,Isaac Watts,"O God, our help in ages past,
Our hope for years to come,
Our shelter from the stormy blast,
And our eternal home.

Under the shadow of Thy throne
Thy saints have dwelt secure;
Sufficient is Thine arm alone,
And our defence is sure.

Before the hills in order stood,
Or earth received her frame,
From everlasting Thou art God,
To endless years the same.

A thousand ages in Thy sight
Are like an evening gone;
Short as the watch that ends the night
Before the rising sun.

Time, like an ever-rolling stream,
Bears all its sons away;
They fly forgotten, as a dream
Dies at the opening day.

O God, our help in ages past,
Our hope for years to come,
Be Thou our guard while life shall last,
And our eternal home."
indonesia,"Hai Umat, Nyanyilah",Valentin Ernst Loescher,"Hai umat, nyanyilah, rayakan hari ini!
Mujizat Allahmu masyhurkanlah di sini!
Telah turun Roh Kudus membangunkan umat-Nya,
kiranya sekarang, semua tergerak.

Ya Roh Karunia, Penghibur, dan Penolong,
sekarang datanglah, berkat-Mu kami mohon.
Baptisan dan firman membangun umat-Mu,
supaya kami pun berbuahlah penuh.

Kaupilih umat-Mu menjadi tubuh Kristus,
kembali lahirlah umat-Mu dalam Yesus.
Di Perjamuan-Nya Kau hadir bekerja,
membuat hamba-Mu cerminan kasih-Nya.

Yang hidup oleh Roh, yang bangkit oleh firman,
dan oleh kurnia berbuah karena iman,
muliakan Allahmu dan puji kasih-Nya,
yang baru dan segar selama-lamanya."
indonesia,Kau Tak Kulupakan,Charles H. Gabriel,"Janji yang manis, ""Kau tak Kulupakan.""
Tak terombang-ambing lagi jiwaku.
Walau lembah hidupku penuh awan,
nanti kan cerahlah langit diatasku.

""Kau tidak kan Aku lupakan.
Aku membimbingmu, Aku memimpinmu.
Kau tidak kan Aku lupakan,
Aku Penolongmu, yakinlah teguh.""

Yakinkan janji, ""Kau tak Kulupakan.""
Dengan sukacita aku jalan terus.
Dunia dan kawan tiada kuharapkan,
satu yang setia Yesus Penebus.

Dan bila pintu surga dibukakan,
selesailah sudah susah dan lelah.
Kan ku dengarlah suara mengatakan,
""Hamba yang setiawan, mari masuklah."""
indonesia,Siapakah Bayi yang Tidur,William C. Dix,"Siapakah bayi yang tidur
di pelukan Maria?
Yang diberi salam malaikat
dan dijaga gembala.
Dia Kristus, Rajaku,
malak, gembala memuji.
Muliakanlah Dia,
bayi di pelukan Maria.

Mengapakah Ia terbaring
di kandang ternak hina?
Bagi manusia berdosa,
Dia rela jadi manusia.
Derita ditanggung-Nya
mengganti kita, di salib.
Mari lihatlah Dia,
Firman menjadi manusia.

Persembahkanlah pada-Nya
kemenyan, mur, dan emas.
Rajakanlah hai umat-Nya,
Dia beri keselamatan!
Nyanyikanlah pujian,
mahkotai Dia di hatimu.
Bersukacitalah
karena Kristus Yesus lahirlah."
english,What Child is This?,William C. Dix,"What child is this, who laid to rest,
on Mary's lap is sleeping;
Whom angels greet with anthems sweet,
While shepherds watch are keeping?
This, this is Christ the King,
whom shepherds guard and angels sing.
Haste, haste to bring Him laud,
The babe, the son of Mary.

Why lies He in such mean estate,
Where ox and donkeys are feeding?
Good Christians, fear, for sinners here
The silent Word is pleading.
Nails, spears shall pierce him through,
the cross he bore for me, for you.
Hail, hail the Word made flesh,
the Babe, the Son of Mary.

So bring him incense, gold, and myrrh,
Come, peasant, king, to own him.
The King of kings salvation brings,
Let loving hearts enthrone him.
Raise, raise a song on high,
the virgin sings her lullaby.
Joy, joy for Christ is born,
The babe, the Son of Mary."
indonesia,Roh Allah Maha Hidup,Daniel Iversion,"Roh Allah Maha hidup, bangkitkan rohku,
Roh Allah Maha hidup, bangkitkan rohku.
Bakar, uji, pakai daku,
Roh Allah Maha hidup, bangkitkan rohku."
english,Spirit Of The Living God,Daniel Iversion,"Spirit of the Living God, fall afresh on me,
Spirit of the Living God, fall afresh on me.
Melt me, mold me, fill me, use me,
Spirit of the Living God, fall afresh on me."
indonesia,Kupercaya Pada Yesus,Louisa M. R. Stead,"Kupercaya pada Yesus dan firman-Nya yang kekal.
Ku bersandarkan janji-Nya, turut sabda yang mulia.

Yesus, Yesus, kupercaya, selamanya setia.
Yesus, Yesus, indah mulia, percaya sebab anugerah.

Kupercaya pada Yesus, darah-Nya menyucikan.
hanya oleh karena iman, jiwaku diselamatkan.

Kupercaya pada Yesus yang menebus dosaku,
Sumber hidup, sukacita, tempat damai sentosa.

Ku bersyukur pada Yesus, Sobatku, Sang Penebus.
Selamanya Tuhan sertaku, sampai akhir hidupku."
indonesia,"Yesus, Seperti Kehendak-Mu",Benjamin Schmolck,"Yesus kehendak-Mu jadilah dalamku;
kuserahkan semua dalam tangan Bapa.
Dalam suka duka, ku tetap milik-Mu;
ajarku berseru, ""Kehendak-Mu jadilah.""

Kehendak-Mu jadi meski dalam lembah;
bila dalam dunia kualami susah.
Jangan pengharapanku jadi pudar, layu;
ku kan beserta-Mu, kehendak-Mu jadilah.

Yesus kehendak-Mu amat manis bagiku;
dunia kan berubah ku tetap sandar Hu.
Ke rumah yang mulia, ku jalan dengan terang,
hidup atau mati, kehendak-Mu jadilah."
indonesia,Datang Bersyukurlah,Martin Rinkart,"Sekarang bersyukur kepada Tuhan kita.
Sempurna dan besar segala pekerjaan-Nya;
memberkati kita dengan kasih limpah,
Sekarang dan terus, selama-lamanya.

Kiranya kasih-Nya besertaku selamanya.
Damai sukacita, hatiku disegarkan.
Dengan anugerah-Nya, aku dijaga-Nya.
Dalam dunia ini takutku lenyaplah.

Puji, bersyukurlah, kepada Bapa, Putra,
dan pada Roh Kudus yang bertakhta di surga.
Tritunggal yang Esa, disembah umat-Nya,
Dulu, kini, kelak, kekal selamanya."
indonesia,Kami Kenang Akan Tuhan,,"Kami datang ke hadirat-Mu,
kenang kan Tuhanku.
Kasih-Mu bernyala-nyala,
di dalam hatiku.

Oh, Tuhan di Getsemani,
penuh susah sedih.
Ia tanggung segala dosaku,
ku mau ingat selalu.

Bila kukenang salib-Nya,
ingatlah Golgota.
Domba Allah disembahkan,
untuk keselamatan.

Yesus telah mati bagiku,
ku mau syukur selalu.
Kini kuserahkan diri,
untuk balas Kasih."
indonesia,Bekerja Selama Siang,Annie L. Coghill,"Bekerja selama siang, tatkala fajar terang.
Jangan engkau menunggu, waktu kan lalu.
Dengar perintah Tuhanmu, berjagalah kamu.
Tak lama lagi waktu, habis kerjamu.

Bekerja selama siang, tatkala fajar terang.
Kabarkanlah Injil-Nya, selamatkan manusia.
Bertutur dan masyhurkan, keselamatan-Nya.
Tak lama lagi waktu, habis kerjamu.

Bekerja selama siang, tatkala fajar terang.
Mahkota mulia menunggu, kau dapat tentu.
Tuhan selalu membantu, serahkanlah dirimu.
Tak lama lagi waktu, habis kerjamu."
indonesia,Yesus Seperti Gembala,Dorothy A. Trupp,"Yesus seperti gembala, kami seperti domba-Nya,
dipimpin dan dijaga-Nya selama di dunia.
Tuhan Yesus, Tuhan Yesus, sekarang kami milik-Mu,
Tuhan Yesus, Tuhan Yesus, sekarang kami milik-Mu.

Tuhan sudah berjanji menerima yang berdosa dan miskin.
Tuhan memberi kelepasan yang dibelenggu dosa.
Tuhan Yesus, Tuhan Yesus, ku berpaling pada-Mu,
Tuhan Yesus, Tuhan Yesus, ku berpaling pada-Mu.

Engkaulah sahabat kami, pelindung jalan hidup.
Peliharakanlah domba-Mu dari kuasa dosa.
Tuhan Yesus, Tuhan Yesus, dengarlah doa kami,
Tuhan Yesus, Tuhan Yesus, dengarlah doa kami."
indonesia,Sandar Tuhan Selalu,Edgar P. Stites,"Sandar Tuhan selalu, sepanjang jalan hidupku;
Meski lemah imanku, ku bersandar Tuhanku.

Sampai akhir hidupku, ku bersandar Tuhanku,
dengan berani kutempuh, karena sandar Tuhanku.

Ku memohon Roh Kudus, menerangi hatiku;
Pimpin ke jalan benar, ku bersandar Tuhanku.

Jalan aman puji Dia, jalan gelap Tuhan serta;
Saat bahaya datang, ku bersandar Tuhanku."
indonesia,Makin Dekat Tuhan,Sarah F. Adams,"Makin dekat Tuhan kepada-Mu,
Salib-Mu sajalah mengangkatku.
Inilah doaku, dekat kepada-Mu.
Makin dekat Tuhan, dekat Tuhan.

Seperti pengembara dalam gelap,
Berbantal batu pun dapat terlelap.
Di dalam mimpiku, dekat kepada-Mu.
Makin dekat Tuhan, dekat Tuhan.

Jalan menuju surga terbukalah,
Sebab kasih, anugerah diberikan-Nya.
Malak menatapku, ku mendekat Tuhan.
Makin dekat Tuhan, dekat Tuhan.

Pujian kepada-Mu penuhiku,
Duka ku yang berat ku tinggalkan.
Musuh mendekatku, ku angkat Betelku.
Makin dekat Tuhan, dekat Tuhan.

Dan bila jiwaku naik ke surga,
Ku tinggalkan dunia ku senanglah.
Inilah laguku dekat kepada-Mu.
Makin dekat Tuhan, dekat Tuhan."
indonesia,Tuhan Ingat Daku,,"Bila ku ditimpa bahaya, jalan penuh duri serigala,
Ku ada ingatan indah: ""Tuhan ingat daku.""

Tuhan ingat daku, Tuhan ingat daku.
Ku tak takut, Tuhan serta, bahkan ingat daku.

Meski menderita susah, khawatir keluh tak berdaya,
Segalanya ingatkan daku: ""Tuhan ingat daku.""

Biarpun awan gumpal datang, siksa susah atau senang,
ku puaslah karena ku tahu: ""Tuhan ingat daku."""
indonesia,Kristus Tuhan Memerintah Semesta,Isaac Watts,"Kristus Tuhan, memerintah semesta,
Ia bertakhta di arasnya,
dari segala jurusan,
umat semua, muliakan Dia.

Bangsa-bangsa, raja-raja,
serta umat di dunia,
mari datang menyembah Dia,
sembah sujud, kepada-Nya.

Semua lidah puji Dia,
dengan segenap hatinya,
anak-anak masyhurkan Dia,
dan lengkaplah pujian-Nya."
english,Jesus Shall Reign Where'er the Sun,Isaac Watts,"Jesus shall reign wherever the sun
does its successive journeys run,
His Kingdom stretch from shore to shore,
till moons shall wax and wane no more.

To Him shall endless prayer be made,
and endless praises crown His head;
His name like sweet perfume shall rise
with every morning sacrifice.

People and realms of every tongue
dwell on His love with sweetest song;
and infant voices shall proclaim
their early blessings on His name.

Blessings abound wherever He reigns:
the prisoner leaps, unloosed his chains,
the weary find eternal rest,
and all the sons of want are blest.

Where He displays His healing power,
Death and the curse are known no more;
In Him the tribes of Adam boast
More blessings than their father lost.

Let every creature rise and bring
peculiar honours to our King;
angels descend with songs again,
and earth repeat the loud ""Amen!"""
indonesia,Panggilan-Mu Kami Dengar,Samuel Preiswerk,"Panggilan-Mu kami dengar ya Tuhan Yesus,
kami berdoa segera tuk panggilan kudus.
Tiap benih yang telah disebar, segera tumbuh dan memekar,
yang tak sayangkan nyawanya,
beroleh keselamatannya,
dalam Kristus, kami pun hiduplah.

Oleh karena derita-Mu, Kaubuka jalanku,
mengikut Engkau Tuhanku didorong kasih-Mu!
Sengsara-Mu bagikanlah, jalan kami menuju surga,
dengan setia melayani,
kemuliaan-Mu dipuji,
dengan setia sampai selamanya.

Bagaikan padi tertanam, Tuhanku dikubur,
dan bangkit menyelamatkan umat yang dicengkeram.
Ya Tuhan, kirim segera penabur yang telah berserah,
hidupnya untuk kuasa-Mu,
memberitakan nama-Mu,
penuh suka beritakan nama-Mu."
indonesia,Kita Pecahkan Roti,American Folk Hymn,"Kita pecahkan roti kenang Dia,
kita pecahkan roti kenang Dia.

Kita kan bertelut menyembah kepada-Nya,
O, Tuhan, berilah rahmat!

Kita ambil cawan-Nya kenang Dia,
kita ambil cawan-Nya kenang Dia.

Kita bersama puji kenang Dia,
kita bersama puji kenang Dia."
indonesia,Beritakanlah di Gunung,Traditional,"Beritakanlah di gunung, di lembah, di mana-mana,
beritakanlah di gunung, telah lahir Penebus.

O, gembala dipadang menjaga dombanya,
tiba-tiba terpancar cahaya yang mulia.

Mereka sangat takut mendengar pujian
bala tentara surga yang memuji Allah.

Telah lahir di palungan, Kristus Yesus Tuhan,
membawa kabar suka untuk segala bangsa."
indonesia,Damai di Hatiku,C. H. Morris,"Damai di hatiku bukan dari dunia,
selamanya jadi milikku.
Meski awan gelap yang menutupiku,
ku ada damai di hatiku.

Di dalam hatiku, Dia milikku.
Di dalam hatiku ada senang.
Dia tak kan tinggalkanku, inilah janji-Nya,
""Ku tak tinggalkanmu."" Dia milikku.

Damai-Nya yang indah penuhi hatiku,
umat semua memuji-Nya.
Gelap jadi terang, susah pun lenyaplah,
Yesus sumber berkat yang indah.

Damai-Nya diberi, simpan di hatiku,
hidupku senang selalu.
Kelak hari mulia, Dia kan menjemputku,
pulang surga rumah Bapaku."
indonesia,Sebagai Keledai,Stephen Tong,"Sebagai keledai kuserahkan,
pakai hamba-Mu, Tuhanku.
Ku mau taat pimpinan-Mu,
Pakai, bimbing hamba-Mu."
indonesia,Allah Maha Kuasa,Felice de Giardini,"Allah Maha Kuasa,
umat-Mu tolonglah,
memuji-Mu.
Bapa yang mulia, Raja yang berkuasa,
kami sujud sembah kepada-Mu.

Mari Firman kudus,
nyatakan kuasa-Mu,
ku berseru.
Sabda-Mu jadilah, Roh-Mu penuhilah,
Tuhan berkatilah jemaat-Mu.

Ya, Allah Roh Kudus,
teguhkan saksi-Mu,
sekarang ini.
Perintah hati ini taat kepada-Mu,
jadikan kehendak-Mu pada kami.

Allah Bapa, Putra,
dan Allah Roh Kudus,
Ketiga-Nya,
yang Maha Mulia dan Maha Perkasa,
dalam kekekalan kupuji terus."
